
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_5668_2_9bd579                                       
  Mach  =    0.850
  alpha =    1.626    CLtot =    0.160
  beta  =    0.000

  Sref  =   976.70000
  Bref  =    69.13000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064660784030088     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.800706E-01     0.154440E-01
    0.0003  0.799326E-01     0.153978E-01
    0.0026  0.796566E-01     0.153056E-01
    0.0072  0.791057E-01     0.151225E-01
    0.0141  0.782818E-01     0.148513E-01
    0.0233  0.771876E-01     0.144959E-01
    0.0346  0.758268E-01     0.140614E-01
    0.0482  0.742039E-01     0.135543E-01
    0.0638  0.723243E-01     0.129819E-01
    0.0815  0.701958E-01     0.123524E-01
    0.1011  0.678301E-01     0.116751E-01
    0.1226  0.652562E-01     0.109595E-01
    0.1444  0.626744E-01     0.102634E-01
    0.1663  0.600942E-01     0.959373E-02
    0.1895  0.573564E-01     0.891259E-02
    0.2140  0.544784E-01     0.822819E-02
    0.2396  0.514857E-01     0.754858E-02
    0.2664  0.484123E-01     0.688124E-02
    0.2941  0.452969E-01     0.623294E-02
    0.3226  0.421778E-01     0.560955E-02
    0.3518  0.390934E-01     0.501592E-02
    0.3829  0.359578E-01     0.442953E-02
    0.4158  0.328348E-01     0.385888E-02
    0.4490  0.298699E-01     0.333308E-02
    0.4825  0.270551E-01     0.285266E-02
    0.5160  0.243854E-01     0.241760E-02
    0.5494  0.218588E-01     0.202732E-02
    0.5827  0.194749E-01     0.168072E-02
    0.6155  0.172340E-01     0.137621E-02
    0.6479  0.151370E-01     0.111176E-02
    0.6797  0.131842E-01     0.884941E-03
    0.7106  0.113764E-01     0.693028E-03
    0.7407  0.971362E-02     0.533051E-03
    0.7697  0.819575E-02     0.401873E-03
    0.7976  0.682236E-02     0.296261E-03
    0.8242  0.559266E-02     0.212957E-03
    0.8494  0.450552E-02     0.148745E-03
    0.8731  0.355919E-02     0.100514E-03
    0.8952  0.275086E-02     0.653261E-04
    0.9156  0.207542E-02     0.404770E-04
    0.9342  0.152299E-02     0.235687E-04
    0.9504  0.108557E-02     0.128996E-04
    0.9641  0.738744E-03     0.655026E-05
    0.9760  0.463181E-03     0.293080E-05
    0.9860  0.259812E-03     0.110203E-05
    0.9941  0.123839E-03     0.320659E-06
    1.0001  0.450894E-04     0.613223E-07
    1.0042  0.950253E-05     0.524948E-08
    1.0062  0.557705E-06     0.718347E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064660784030088     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.800706E-01    -0.154440E-01
   -0.0003  0.799326E-01    -0.153978E-01
   -0.0026  0.796566E-01    -0.153056E-01
   -0.0072  0.791057E-01    -0.151225E-01
   -0.0141  0.782818E-01    -0.148513E-01
   -0.0233  0.771876E-01    -0.144959E-01
   -0.0346  0.758268E-01    -0.140614E-01
   -0.0482  0.742039E-01    -0.135543E-01
   -0.0638  0.723243E-01    -0.129819E-01
   -0.0815  0.701958E-01    -0.123524E-01
   -0.1011  0.678301E-01    -0.116751E-01
   -0.1226  0.652562E-01    -0.109595E-01
   -0.1444  0.626744E-01    -0.102634E-01
   -0.1663  0.600942E-01    -0.959373E-02
   -0.1895  0.573564E-01    -0.891259E-02
   -0.2140  0.544784E-01    -0.822819E-02
   -0.2396  0.514857E-01    -0.754858E-02
   -0.2664  0.484123E-01    -0.688124E-02
   -0.2941  0.452969E-01    -0.623294E-02
   -0.3226  0.421778E-01    -0.560955E-02
   -0.3518  0.390934E-01    -0.501592E-02
   -0.3829  0.359578E-01    -0.442953E-02
   -0.4158  0.328348E-01    -0.385888E-02
   -0.4490  0.298699E-01    -0.333308E-02
   -0.4825  0.270551E-01    -0.285266E-02
   -0.5160  0.243854E-01    -0.241760E-02
   -0.5494  0.218588E-01    -0.202732E-02
   -0.5827  0.194749E-01    -0.168072E-02
   -0.6155  0.172340E-01    -0.137621E-02
   -0.6479  0.151370E-01    -0.111176E-02
   -0.6797  0.131842E-01    -0.884941E-03
   -0.7106  0.113764E-01    -0.693028E-03
   -0.7407  0.971362E-02    -0.533051E-03
   -0.7697  0.819575E-02    -0.401873E-03
   -0.7976  0.682236E-02    -0.296261E-03
   -0.8242  0.559266E-02    -0.212957E-03
   -0.8494  0.450552E-02    -0.148745E-03
   -0.8731  0.355919E-02    -0.100514E-03
   -0.8952  0.275086E-02    -0.653261E-04
   -0.9156  0.207542E-02    -0.404770E-04
   -0.9342  0.152299E-02    -0.235687E-04
   -0.9504  0.108557E-02    -0.128996E-04
   -0.9641  0.738744E-03    -0.655026E-05
   -0.9760  0.463181E-03    -0.293080E-05
   -0.9860  0.259812E-03    -0.110203E-05
   -0.9941  0.123839E-03    -0.320659E-06
   -1.0001  0.450894E-04    -0.613223E-07
   -1.0042  0.950253E-05    -0.524948E-08
   -1.0062  0.557705E-06    -0.718347E-10
   -1.0065   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11861709822074352     
     2Ymax/Bref =   0.18389989874150153     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1186  0.552844E-03     0.171764E-04
    0.1189  0.551180E-03     0.165727E-04
    0.1211  0.544357E-03     0.153746E-04
    0.1254  0.517500E-03     0.131312E-04
    0.1314  0.462306E-03     0.102037E-04
    0.1388  0.382358E-03     0.711280E-05
    0.1470  0.290249E-03     0.436759E-05
    0.1555  0.199441E-03     0.229843E-05
    0.1637  0.120992E-03     0.990601E-06
    0.1711  0.616527E-04     0.322243E-06
    0.1772  0.237054E-04     0.672075E-07
    0.1814  0.520638E-05     0.612530E-08
    0.1836  0.314552E-06     0.874908E-10
    0.1839   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18389989874150153     
     2Ymax/Bref =  -0.11861709822074352     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1186  0.552844E-03    -0.171764E-04
   -0.1189  0.551180E-03    -0.165727E-04
   -0.1211  0.544357E-03    -0.153746E-04
   -0.1254  0.517500E-03    -0.131312E-04
   -0.1314  0.462306E-03    -0.102037E-04
   -0.1388  0.382358E-03    -0.711280E-05
   -0.1470  0.290249E-03    -0.436759E-05
   -0.1555  0.199441E-03    -0.229843E-05
   -0.1637  0.120992E-03    -0.990601E-06
   -0.1711  0.616527E-04    -0.322243E-06
   -0.1772  0.237054E-04    -0.672075E-07
   -0.1814  0.520638E-05    -0.612530E-08
   -0.1836  0.314552E-06    -0.874908E-10
   -0.1839   0.00000         -0.00000    
