
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_671576_11_2603a8                                    
  Mach  =    0.850
  alpha =    1.550    CLtot =    0.142
  beta  =    0.000

  Sref  =  1189.20000
  Bref  =    75.73000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064809190545358     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.708307E-01     0.134486E-01
    0.0003  0.707072E-01     0.134083E-01
    0.0026  0.704601E-01     0.133278E-01
    0.0071  0.699670E-01     0.131681E-01
    0.0139  0.692297E-01     0.129315E-01
    0.0229  0.682510E-01     0.126215E-01
    0.0342  0.670346E-01     0.122427E-01
    0.0475  0.655852E-01     0.118005E-01
    0.0629  0.639090E-01     0.113016E-01
    0.0803  0.620141E-01     0.107530E-01
    0.0997  0.599162E-01     0.101629E-01
    0.1209  0.576465E-01     0.953939E-02
    0.1435  0.552594E-01     0.890208E-02
    0.1674  0.527453E-01     0.825898E-02
    0.1927  0.500711E-01     0.760804E-02
    0.2194  0.472590E-01     0.695781E-02
    0.2475  0.443401E-01     0.631647E-02
    0.2767  0.413509E-01     0.569157E-02
    0.3069  0.383309E-01     0.508978E-02
    0.3380  0.353230E-01     0.451677E-02
    0.3694  0.324204E-01     0.398215E-02
    0.4010  0.296682E-01     0.348740E-02
    0.4331  0.270428E-01     0.302856E-02
    0.4655  0.245417E-01     0.260665E-02
    0.4981  0.221631E-01     0.222218E-02
    0.5308  0.199071E-01     0.187513E-02
    0.5635  0.177746E-01     0.156494E-02
    0.5959  0.157672E-01     0.129060E-02
    0.6279  0.138861E-01     0.105068E-02
    0.6595  0.121325E-01     0.843349E-03
    0.6905  0.105071E-01     0.666496E-03
    0.7207  0.900984E-02     0.517747E-03
    0.7500  0.764028E-02     0.394557E-03
    0.7783  0.639723E-02     0.294269E-03
    0.8055  0.527893E-02     0.214180E-03
    0.8314  0.428311E-02     0.151599E-03
    0.8560  0.340709E-02     0.103902E-03
    0.8791  0.264773E-02     0.685822E-04
    0.9007  0.200151E-02     0.432937E-04
    0.9206  0.146430E-02     0.258884E-04
    0.9388  0.103076E-02     0.144531E-04
    0.9542  0.707236E-03     0.765950E-05
    0.9670  0.470634E-03     0.383867E-05
    0.9781  0.290662E-03     0.170196E-05
    0.9874  0.161500E-03     0.635980E-06
    0.9949  0.765072E-04     0.184185E-06
    1.0006  0.277087E-04     0.350696E-07
    1.0043  0.580436E-05     0.298725E-08
    1.0062  0.338493E-06     0.406357E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064809190545358     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.708307E-01    -0.134486E-01
   -0.0003  0.707072E-01    -0.134083E-01
   -0.0026  0.704601E-01    -0.133278E-01
   -0.0071  0.699670E-01    -0.131681E-01
   -0.0139  0.692297E-01    -0.129315E-01
   -0.0229  0.682510E-01    -0.126215E-01
   -0.0342  0.670346E-01    -0.122427E-01
   -0.0475  0.655852E-01    -0.118005E-01
   -0.0629  0.639090E-01    -0.113016E-01
   -0.0803  0.620141E-01    -0.107530E-01
   -0.0997  0.599162E-01    -0.101629E-01
   -0.1209  0.576465E-01    -0.953939E-02
   -0.1435  0.552594E-01    -0.890208E-02
   -0.1674  0.527453E-01    -0.825898E-02
   -0.1927  0.500711E-01    -0.760804E-02
   -0.2194  0.472590E-01    -0.695781E-02
   -0.2475  0.443401E-01    -0.631647E-02
   -0.2767  0.413509E-01    -0.569157E-02
   -0.3069  0.383309E-01    -0.508978E-02
   -0.3380  0.353230E-01    -0.451677E-02
   -0.3694  0.324204E-01    -0.398215E-02
   -0.4010  0.296682E-01    -0.348740E-02
   -0.4331  0.270428E-01    -0.302856E-02
   -0.4655  0.245417E-01    -0.260665E-02
   -0.4981  0.221631E-01    -0.222218E-02
   -0.5308  0.199071E-01    -0.187513E-02
   -0.5635  0.177746E-01    -0.156494E-02
   -0.5959  0.157672E-01    -0.129060E-02
   -0.6279  0.138861E-01    -0.105068E-02
   -0.6595  0.121325E-01    -0.843349E-03
   -0.6905  0.105071E-01    -0.666496E-03
   -0.7207  0.900984E-02    -0.517747E-03
   -0.7500  0.764028E-02    -0.394557E-03
   -0.7783  0.639723E-02    -0.294269E-03
   -0.8055  0.527893E-02    -0.214180E-03
   -0.8314  0.428311E-02    -0.151599E-03
   -0.8560  0.340709E-02    -0.103902E-03
   -0.8791  0.264773E-02    -0.685822E-04
   -0.9007  0.200151E-02    -0.432937E-04
   -0.9206  0.146430E-02    -0.258884E-04
   -0.9388  0.103076E-02    -0.144531E-04
   -0.9542  0.707236E-03    -0.765950E-05
   -0.9670  0.470634E-03    -0.383867E-05
   -0.9781  0.290662E-03    -0.170196E-05
   -0.9874  0.161500E-03    -0.635980E-06
   -0.9949  0.765072E-04    -0.184185E-06
   -1.0006  0.277087E-04    -0.350696E-07
   -1.0043  0.580436E-05    -0.298725E-08
   -1.0062  0.338493E-06    -0.406357E-10
   -1.0065   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.10827941370658918     
     2Ymax/Bref =   0.16787270566486198     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1083  0.596618E-03     0.164998E-04
    0.1085  0.595053E-03     0.159049E-04
    0.1105  0.588387E-03     0.147235E-04
    0.1144  0.560538E-03     0.125077E-04
    0.1199  0.499156E-03     0.961745E-05
    0.1267  0.405635E-03     0.659507E-05
    0.1342  0.298610E-03     0.397124E-05
    0.1420  0.198956E-03     0.205204E-05
    0.1495  0.117866E-03     0.871640E-06
    0.1562  0.590834E-04     0.280555E-06
    0.1617  0.224812E-04     0.580933E-07
    0.1656  0.490826E-05     0.527025E-08
    0.1676  0.295700E-06     0.750792E-10
    0.1679   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.16787270566486198     
     2Ymax/Bref =  -0.10827941370658918     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1083  0.596618E-03    -0.164998E-04
   -0.1085  0.595053E-03    -0.159049E-04
   -0.1105  0.588387E-03    -0.147235E-04
   -0.1144  0.560538E-03    -0.125077E-04
   -0.1199  0.499156E-03    -0.961745E-05
   -0.1267  0.405635E-03    -0.659507E-05
   -0.1342  0.298610E-03    -0.397124E-05
   -0.1420  0.198956E-03    -0.205204E-05
   -0.1495  0.117866E-03    -0.871640E-06
   -0.1562  0.590834E-04    -0.280555E-06
   -0.1617  0.224812E-04    -0.580933E-07
   -0.1656  0.490826E-05    -0.527025E-08
   -0.1676  0.295700E-06    -0.750792E-10
   -0.1679   0.00000         -0.00000    
