
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_671576_15_5520e6                                    
  Mach  =    0.850
  alpha =    1.741    CLtot =    0.151
  beta  =    0.000

  Sref  =  1077.90000
  Bref  =    66.09000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062369496141625     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.752981E-01     0.147062E-01
    0.0003  0.751812E-01     0.146677E-01
    0.0023  0.749473E-01     0.145910E-01
    0.0064  0.744806E-01     0.144385E-01
    0.0125  0.737825E-01     0.142124E-01
    0.0206  0.728552E-01     0.139157E-01
    0.0306  0.717011E-01     0.135524E-01
    0.0426  0.703230E-01     0.131275E-01
    0.0565  0.687246E-01     0.126468E-01
    0.0721  0.669106E-01     0.121166E-01
    0.0895  0.648884E-01     0.115442E-01
    0.1085  0.626732E-01     0.109371E-01
    0.1292  0.603043E-01     0.103032E-01
    0.1529  0.576318E-01     0.960295E-02
    0.1798  0.546634E-01     0.884815E-02
    0.2082  0.515959E-01     0.809449E-02
    0.2379  0.484636E-01     0.735070E-02
    0.2689  0.453009E-01     0.662474E-02
    0.3010  0.421407E-01     0.592361E-02
    0.3341  0.390140E-01     0.525331E-02
    0.3679  0.359520E-01     0.461867E-02
    0.4006  0.331241E-01     0.405217E-02
    0.4319  0.305190E-01     0.354979E-02
    0.4635  0.279898E-01     0.308292E-02
    0.4954  0.255427E-01     0.265299E-02
    0.5273  0.231833E-01     0.226083E-02
    0.5591  0.209178E-01     0.190665E-02
    0.5907  0.187528E-01     0.159010E-02
    0.6220  0.166949E-01     0.131028E-02
    0.6528  0.147503E-01     0.106582E-02
    0.6830  0.129246E-01     0.854905E-03
    0.7125  0.112227E-01     0.675352E-03
    0.7411  0.964841E-02     0.524697E-03
    0.7687  0.820452E-02     0.400260E-03
    0.7952  0.689263E-02     0.299231E-03
    0.8205  0.571311E-02     0.218741E-03
    0.8445  0.466502E-02     0.155942E-03
    0.8671  0.374611E-02     0.108074E-03
    0.8881  0.295274E-02     0.725252E-04
    0.9075  0.227970E-02     0.468887E-04
    0.9252  0.171969E-02     0.290057E-04
    0.9421  0.123558E-02     0.164492E-04
    0.9578  0.824608E-03     0.824734E-05
    0.9714  0.509187E-03     0.365296E-05
    0.9828  0.282377E-03     0.136271E-05
    0.9920  0.133431E-03     0.394010E-06
    0.9990  0.482496E-04     0.749718E-07
    1.0036  0.101200E-04     0.639410E-08
    1.0059  0.592939E-06     0.873599E-10
