
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_7028_14_35373d                                      
  Mach  =    0.850
  alpha =    2.328    CLtot =    0.192
  beta  =    0.000

  Sref  =   755.60000
  Bref  =    63.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060281333965544     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.958063E-01     0.166852E-01
    0.0003  0.956261E-01     0.166322E-01
    0.0025  0.952657E-01     0.165265E-01
    0.0069  0.945463E-01     0.163167E-01
    0.0135  0.934705E-01     0.160062E-01
    0.0223  0.920423E-01     0.155996E-01
    0.0332  0.902667E-01     0.151035E-01
    0.0462  0.881498E-01     0.145254E-01
    0.0611  0.856993E-01     0.138744E-01
    0.0781  0.829251E-01     0.131606E-01
    0.0969  0.798407E-01     0.123950E-01
    0.1175  0.764702E-01     0.115894E-01
    0.1399  0.728625E-01     0.107557E-01
    0.1633  0.691265E-01     0.992431E-02
    0.1877  0.652559E-01     0.910520E-02
    0.2135  0.611835E-01     0.829196E-02
    0.2404  0.569499E-01     0.749563E-02
    0.2685  0.526206E-01     0.672633E-02
    0.2976  0.482668E-01     0.599276E-02
    0.3276  0.439633E-01     0.530195E-02
    0.3583  0.397938E-01     0.465895E-02
    0.3897  0.358509E-01     0.406657E-02
    0.4217  0.321960E-01     0.351925E-02
    0.4543  0.288491E-01     0.301732E-02
    0.4871  0.257831E-01     0.256520E-02
    0.5200  0.229609E-01     0.216095E-02
    0.5528  0.203596E-01     0.180245E-02
    0.5853  0.179633E-01     0.148735E-02
    0.6176  0.157597E-01     0.121305E-02
    0.6493  0.137387E-01     0.976745E-03
    0.6805  0.118912E-01     0.775468E-03
    0.7108  0.102091E-01     0.606135E-03
    0.7403  0.868438E-02     0.465604E-03
    0.7688  0.730955E-02     0.350732E-03
    0.7961  0.607728E-02     0.258422E-03
    0.8222  0.498058E-02     0.185666E-03
    0.8469  0.401291E-02     0.129589E-03
    0.8701  0.316847E-02     0.874758E-04
    0.8918  0.244237E-02     0.567948E-04
    0.9118  0.183035E-02     0.352233E-04
    0.9301  0.132724E-02     0.206746E-04
    0.9465  0.924043E-03     0.113098E-04
    0.9611  0.610257E-03     0.564410E-05
    0.9737  0.375317E-03     0.249516E-05
    0.9843  0.208104E-03     0.929432E-06
    0.9929  0.981556E-04     0.267641E-06
    0.9993  0.351660E-04     0.504854E-07
    1.0036  0.726017E-05     0.425078E-08
    1.0058  0.419439E-06     0.573201E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060281333965544     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.958063E-01    -0.166852E-01
   -0.0003  0.956261E-01    -0.166322E-01
   -0.0025  0.952657E-01    -0.165265E-01
   -0.0069  0.945463E-01    -0.163167E-01
   -0.0135  0.934705E-01    -0.160062E-01
   -0.0223  0.920423E-01    -0.155996E-01
   -0.0332  0.902667E-01    -0.151035E-01
   -0.0462  0.881498E-01    -0.145254E-01
   -0.0611  0.856993E-01    -0.138744E-01
   -0.0781  0.829251E-01    -0.131606E-01
   -0.0969  0.798407E-01    -0.123950E-01
   -0.1175  0.764702E-01    -0.115894E-01
   -0.1399  0.728625E-01    -0.107557E-01
   -0.1633  0.691265E-01    -0.992431E-02
   -0.1877  0.652559E-01    -0.910520E-02
   -0.2135  0.611835E-01    -0.829196E-02
   -0.2404  0.569499E-01    -0.749563E-02
   -0.2685  0.526206E-01    -0.672633E-02
   -0.2976  0.482668E-01    -0.599276E-02
   -0.3276  0.439633E-01    -0.530195E-02
   -0.3583  0.397938E-01    -0.465895E-02
   -0.3897  0.358509E-01    -0.406657E-02
   -0.4217  0.321960E-01    -0.351925E-02
   -0.4543  0.288491E-01    -0.301732E-02
