
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_7028_2_4e2889                                       
  Mach  =    0.850
  alpha =    1.621    CLtot =    0.151
  beta  =    0.000

  Sref  =  1072.70000
  Bref  =    67.89000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063956400058920     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.750786E-01     0.145466E-01
    0.0003  0.749670E-01     0.145089E-01
    0.0023  0.747438E-01     0.144336E-01
    0.0063  0.742984E-01     0.142841E-01
    0.0123  0.736324E-01     0.140623E-01
    0.0202  0.727486E-01     0.137711E-01
    0.0301  0.716503E-01     0.134143E-01
    0.0419  0.703418E-01     0.129967E-01
    0.0555  0.688285E-01     0.125235E-01
    0.0709  0.671167E-01     0.120011E-01
    0.0880  0.652149E-01     0.114360E-01
    0.1067  0.631373E-01     0.108354E-01
    0.1270  0.609156E-01     0.102067E-01
    0.1496  0.584713E-01     0.953109E-02
    0.1746  0.557859E-01     0.881803E-02
    0.2010  0.529468E-01     0.810199E-02
    0.2286  0.499710E-01     0.739167E-02
    0.2573  0.468878E-01     0.669539E-02
    0.2871  0.437341E-01     0.602073E-02
    0.3178  0.405525E-01     0.537435E-02
    0.3493  0.373901E-01     0.476171E-02
    0.3812  0.343124E-01     0.418634E-02
    0.4136  0.313688E-01     0.365075E-02
    0.4462  0.285642E-01     0.315672E-02
    0.4791  0.258937E-01     0.270492E-02
    0.5121  0.233548E-01     0.229546E-02
    0.5449  0.209476E-01     0.192792E-02
    0.5776  0.186735E-01     0.160132E-02
    0.6099  0.165345E-01     0.131422E-02
    0.6418  0.145329E-01     0.106473E-02
    0.6730  0.126706E-01     0.850555E-03
    0.7034  0.109488E-01     0.669128E-03
    0.7330  0.936836E-02     0.517629E-03
    0.7615  0.792893E-02     0.393084E-03
    0.7889  0.662940E-02     0.292444E-03
    0.8150  0.546763E-02     0.212651E-03
    0.8398  0.444052E-02     0.150717E-03
    0.8631  0.354402E-02     0.103776E-03
    0.8848  0.277315E-02     0.691457E-04
    0.9049  0.212198E-02     0.443699E-04
    0.9232  0.158350E-02     0.272540E-04
    0.9397  0.114919E-02     0.158940E-04
    0.9552  0.784251E-03     0.830710E-05
    0.9696  0.485492E-03     0.368628E-05
    0.9817  0.269888E-03     0.137726E-05
    0.9914  0.127745E-03     0.398581E-06
    0.9987  0.462147E-04     0.758453E-07
    1.0036  0.968275E-05     0.646241E-08
    1.0061  0.566010E-06     0.881030E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063956400058920     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.750786E-01    -0.145466E-01
   -0.0003  0.749670E-01    -0.145089E-01
   -0.0023  0.747438E-01    -0.144336E-01
   -0.0063  0.742984E-01    -0.142841E-01
   -0.0123  0.736324E-01    -0.140623E-01
   -0.0202  0.727486E-01    -0.137711E-01
   -0.0301  0.716503E-01    -0.134143E-01
   -0.0419  0.703418E-01    -0.129967E-01
   -0.0555  0.688285E-01    -0.125235E-01
   -0.0709  0.671167E-01    -0.120011E-01
   -0.0880  0.652149E-01    -0.114360E-01
   -0.1067  0.631373E-01    -0.108354E-01
   -0.1270  0.609156E-01    -0.102067E-01
   -0.1496  0.584713E-01    -0.953109E-02
   -0.1746  0.557859E-01    -0.881803E-02
   -0.2010  0.529468E-01    -0.810199E-02
   -0.2286  0.499710E-01    -0.739167E-02
   -0.2573  0.468878E-01    -0.669539E-02
   -0.2871  0.437341E-01    -0.602073E-02
   -0.3178  0.405525E-01    -0.537435E-02
   -0.3493  0.373901E-01    -0.476171E-02
   -0.3812  0.343124E-01    -0.418634E-02
   -0.4136  0.313688E-01    -0.365075E-02
   -0.4462  0.285642E-01    -0.315672E-02
   -0.4791  0.258937E-01    -0.270492E-02
   -0.5121  0.233548E-01    -0.229546E-02
   -0.5449  0.209476E-01    -0.192792E-02
   -0.5776  0.186735E-01    -0.160132E-02
   -0.6099  0.165345E-01    -0.131422E-02
   -0.6418  0.145329E-01    -0.106473E-02
