
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_705588_19_9ae6a9                                    
  Mach  =    0.850
  alpha =    2.640    CLtot =    0.181
  beta  =    0.000

  Sref  =   911.20000
  Bref  =    53.30000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060300187617262     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.896158E-01     0.171917E-01
    0.0003  0.894781E-01     0.171462E-01
    0.0023  0.892027E-01     0.170553E-01
    0.0064  0.886530E-01     0.168748E-01
    0.0124  0.878312E-01     0.166071E-01
    0.0205  0.867400E-01     0.162558E-01
    0.0305  0.853832E-01     0.158257E-01
    0.0424  0.837649E-01     0.153224E-01
    0.0561  0.818905E-01     0.147527E-01
    0.0717  0.797662E-01     0.141243E-01
    0.0890  0.774007E-01     0.134454E-01
    0.1079  0.748062E-01     0.127250E-01
    0.1285  0.720028E-01     0.119724E-01
    0.1505  0.690446E-01     0.111969E-01
    0.1754  0.657861E-01     0.103571E-01
    0.2032  0.622395E-01     0.946681E-02
    0.2324  0.585897E-01     0.858617E-02
    0.2627  0.548413E-01     0.772509E-02
    0.2942  0.510250E-01     0.689281E-02
    0.3266  0.471877E-01     0.609744E-02
    0.3598  0.433768E-01     0.534572E-02
    0.3937  0.396394E-01     0.464283E-02
    0.4272  0.361051E-01     0.400692E-02
    0.4600  0.327812E-01     0.343616E-02
    0.4931  0.295859E-01     0.291608E-02
    0.5262  0.265299E-01     0.244712E-02
    0.5592  0.236204E-01     0.202891E-02
    0.5921  0.208649E-01     0.166032E-02
    0.6245  0.182711E-01     0.133955E-02
    0.6565  0.158461E-01     0.106415E-02
    0.6879  0.135967E-01     0.831151E-03
    0.7185  0.115282E-01     0.637166E-03
    0.7482  0.964464E-02     0.478472E-03
    0.7769  0.794858E-02     0.351143E-03
    0.8044  0.644060E-02     0.251159E-03
    0.8307  0.511930E-02     0.174516E-03
    0.8556  0.398115E-02     0.117337E-03
    0.8790  0.302036E-02     0.759628E-04
    0.9009  0.222863E-02     0.470401E-04
    0.9210  0.159424E-02     0.275916E-04
    0.9384  0.112419E-02     0.156361E-04
    0.9531  0.782162E-03     0.855428E-05
    0.9661  0.518693E-03     0.427956E-05
    0.9773  0.320286E-03     0.189414E-05
    0.9867  0.177639E-03     0.704990E-06
    0.9943  0.835364E-04     0.202762E-06
    1.0000  0.299251E-04     0.383029E-07
    1.0039  0.622461E-05     0.324580E-08
    1.0058  0.363909E-06     0.442558E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060300187617262     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.896158E-01    -0.171917E-01
   -0.0003  0.894781E-01    -0.171462E-01
   -0.0023  0.892027E-01    -0.170553E-01
   -0.0064  0.886530E-01    -0.168748E-01
   -0.0124  0.878312E-01    -0.166071E-01
   -0.0205  0.867400E-01    -0.162558E-01
   -0.0305  0.853832E-01    -0.158257E-01
   -0.0424  0.837649E-01    -0.153224E-01
   -0.0561  0.818905E-01    -0.147527E-01
   -0.0717  0.797662E-01    -0.141243E-01
   -0.0890  0.774007E-01    -0.134454E-01
   -0.1079  0.748062E-01    -0.127250E-01
   -0.1285  0.720028E-01    -0.119724E-01
   -0.1505  0.690446E-01    -0.111969E-01
   -0.1754  0.657861E-01    -0.103571E-01
   -0.2032  0.622395E-01    -0.946681E-02
   -0.2324  0.585897E-01    -0.858617E-02
   -0.2627  0.548413E-01    -0.772509E-02
   -0.2942  0.510250E-01    -0.689281E-02
   -0.3266  0.471877E-01    -0.609744E-02
   -0.3598  0.433768E-01    -0.534572E-02
   -0.3937  0.396394E-01    -0.464283E-02
   -0.4272  0.361051E-01    -0.400692E-02
   -0.4600  0.327812E-01    -0.343616E-02
   -0.4931  0.295859E-01    -0.291608E-02
   -0.5262  0.265299E-01    -0.244712E-02
   -0.5592  0.236204E-01    -0.202891E-02
   -0.5921  0.208649E-01    -0.166032E-02
   -0.6245  0.182711E-01    -0.133955E-02
   -0.6565  0.158461E-01    -0.106415E-02
   -0.6879  0.135967E-01    -0.831151E-03
   -0.7185  0.115282E-01    -0.637166E-03
   -0.7482  0.964464E-02    -0.478472E-03
   -0.7769  0.794858E-02    -0.351143E-03
   -0.8044  0.644060E-02    -0.251159E-03
   -0.8307  0.511930E-02    -0.174516E-03
   -0.8556  0.398115E-02    -0.117337E-03
   -0.8790  0.302036E-02    -0.759628E-04
   -0.9009  0.222863E-02    -0.470401E-04
   -0.9210  0.159424E-02    -0.275916E-04
   -0.9384  0.112419E-02    -0.156361E-04
   -0.9531  0.782162E-03    -0.855428E-05
   -0.9661  0.518693E-03    -0.427956E-05
   -0.9773  0.320286E-03    -0.189414E-05
   -0.9867  0.177639E-03    -0.704990E-06
   -0.9943  0.835364E-04    -0.202762E-06
   -1.0000  0.299251E-04    -0.383029E-07
   -1.0039  0.622461E-05    -0.324580E-08
   -1.0058  0.363909E-06    -0.442558E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.15384615384615385     
     2Ymax/Bref =   0.23851782363977486     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1538  0.165956E-02     0.640191E-04
    0.1542  0.165487E-02     0.616685E-04
    0.1571  0.163481E-02     0.570023E-04
    0.1626  0.155076E-02     0.482733E-04
    0.1704  0.136686E-02     0.369669E-04
    0.1800  0.109676E-02     0.252741E-04
    0.1907  0.802670E-03     0.152192E-04
    0.2017  0.536006E-03     0.788280E-05
    0.2124  0.318911E-03     0.335719E-05
    0.2220  0.160355E-03     0.108253E-05
    0.2298  0.611000E-04     0.224343E-06
    0.2353  0.133429E-04     0.203556E-07
    0.2382  0.803622E-06     0.289908E-09
    0.2385   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.23851782363977486     
     2Ymax/Bref =  -0.15384615384615385     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1538  0.165956E-02    -0.640191E-04
   -0.1542  0.165487E-02    -0.616685E-04
   -0.1571  0.163481E-02    -0.570023E-04
