
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_705588_1_b59876                                     
  Mach  =    0.850
  alpha =    1.965    CLtot =    0.180
  beta  =    0.000

  Sref  =   911.60000
  Bref  =    73.11000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0069210778279305     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.898567E-01     0.161885E-01
    0.0003  0.896842E-01     0.161395E-01
    0.0025  0.893391E-01     0.160416E-01
    0.0068  0.886503E-01     0.158475E-01
    0.0133  0.876199E-01     0.155602E-01
    0.0220  0.862504E-01     0.151842E-01
    0.0328  0.845446E-01     0.147255E-01
    0.0455  0.825061E-01     0.141913E-01
    0.0603  0.801398E-01     0.135903E-01
    0.0771  0.774541E-01     0.129319E-01
    0.0956  0.744662E-01     0.122267E-01
    0.1160  0.712263E-01     0.114856E-01
    0.1378  0.678119E-01     0.107281E-01
    0.1609  0.642205E-01     0.996461E-02
    0.1856  0.604505E-01     0.919808E-02
    0.2115  0.565712E-01     0.843885E-02
    0.2387  0.526526E-01     0.769616E-02
    0.2671  0.487787E-01     0.697780E-02
    0.2964  0.450471E-01     0.628963E-02
    0.3268  0.415349E-01     0.562986E-02
    0.3580  0.382571E-01     0.500151E-02
    0.3898  0.351736E-01     0.441165E-02
    0.4221  0.322527E-01     0.386168E-02
    0.4548  0.294779E-01     0.335271E-02
    0.4877  0.268398E-01     0.288535E-02
    0.5207  0.243330E-01     0.245979E-02
    0.5536  0.219542E-01     0.207567E-02
    0.5862  0.197010E-01     0.173222E-02
    0.6186  0.175722E-01     0.142820E-02
    0.6504  0.155666E-01     0.116200E-02
    0.6816  0.136838E-01     0.931657E-03
    0.7121  0.119233E-01     0.734912E-03
    0.7416  0.102847E-01     0.569271E-03
    0.7702  0.876828E-02     0.432049E-03
    0.7976  0.737436E-02     0.320427E-03
    0.8237  0.610387E-02     0.231501E-03
    0.8485  0.495831E-02     0.162335E-03
    0.8718  0.393980E-02     0.110009E-03
    0.8935  0.305075E-02     0.716782E-04
    0.9136  0.229332E-02     0.446231E-04
    0.9319  0.166820E-02     0.263198E-04
    0.9484  0.117156E-02     0.145117E-04
    0.9628  0.789525E-03     0.734816E-05
    0.9752  0.498144E-03     0.331068E-05
    0.9856  0.282270E-03     0.125530E-05
    0.9940  0.136015E-03     0.368279E-06
    1.0003  0.500062E-04     0.709315E-07
    1.0045  0.106106E-04     0.610438E-08
    1.0067  0.624521E-06     0.837564E-10
    1.0069   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0069210778279305     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.898567E-01    -0.161885E-01
   -0.0003  0.896842E-01    -0.161395E-01
   -0.0025  0.893391E-01    -0.160416E-01
   -0.0068  0.886503E-01    -0.158475E-01
   -0.0133  0.876199E-01    -0.155602E-01
   -0.0220  0.862504E-01    -0.151842E-01
   -0.0328  0.845446E-01    -0.147255E-01
   -0.0455  0.825061E-01    -0.141913E-01
   -0.0603  0.801398E-01    -0.135903E-01
   -0.0771  0.774541E-01    -0.129319E-01
   -0.0956  0.744662E-01    -0.122267E-01
   -0.1160  0.712263E-01    -0.114856E-01
   -0.1378  0.678119E-01    -0.107281E-01
   -0.1609  0.642205E-01    -0.996461E-02
   -0.1856  0.604505E-01    -0.919808E-02
   -0.2115  0.565712E-01    -0.843885E-02
   -0.2387  0.526526E-01    -0.769616E-02
   -0.2671  0.487787E-01    -0.697780E-02
   -0.2964  0.450471E-01    -0.628963E-02
   -0.3268  0.415349E-01    -0.562986E-02
   -0.3580  0.382571E-01    -0.500151E-02
   -0.3898  0.351736E-01    -0.441165E-02
   -0.4221  0.322527E-01    -0.386168E-02
   -0.4548  0.294779E-01    -0.335271E-02
   -0.4877  0.268398E-01    -0.288535E-02
   -0.5207  0.243330E-01    -0.245979E-02
   -0.5536  0.219542E-01    -0.207567E-02
   -0.5862  0.197010E-01    -0.173222E-02
   -0.6186  0.175722E-01    -0.142820E-02
   -0.6504  0.155666E-01    -0.116200E-02
   -0.6816  0.136838E-01    -0.931657E-03
   -0.7121  0.119233E-01    -0.734912E-03
   -0.7416  0.102847E-01    -0.569271E-03
   -0.7702  0.876828E-02    -0.432049E-03
   -0.7976  0.737436E-02    -0.320427E-03
   -0.8237  0.610387E-02    -0.231501E-03
   -0.8485  0.495831E-02    -0.162335E-03
   -0.8718  0.393980E-02    -0.110009E-03
   -0.8935  0.305075E-02    -0.716782E-04
   -0.9136  0.229332E-02    -0.446231E-04
   -0.9319  0.166820E-02    -0.263198E-04
   -0.9484  0.117156E-02    -0.145117E-04
   -0.9628  0.789525E-03    -0.734816E-05
   -0.9752  0.498144E-03    -0.331068E-05
   -0.9856  0.282270E-03    -0.125530E-05
   -0.9940  0.136015E-03    -0.368279E-06
   -1.0003  0.500062E-04    -0.709315E-07
   -1.0045  0.106106E-04    -0.610438E-08
   -1.0067  0.624521E-06    -0.837564E-10
   -1.0069   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11215975926685814     
     2Ymax/Bref =   0.17388866092189850     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1122  0.101078E-02     0.295468E-04
    0.1124  0.100817E-02     0.285029E-04
    0.1145  0.997125E-03     0.264293E-04
    0.1185  0.951530E-03     0.225364E-04
    0.1242  0.851816E-03     0.174417E-04
    0.1312  0.699768E-03     0.120730E-04
    0.1390  0.523384E-03     0.735254E-05
    0.1471  0.354859E-03     0.384360E-05
    0.1548  0.213588E-03     0.164981E-05
    0.1618  0.108434E-03     0.535580E-06
    0.1675  0.416355E-04     0.111607E-06
    0.1715  0.914170E-05     0.101698E-07
    0.1736  0.552361E-06     0.145272E-09
    0.1739   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.17388866092189850     
     2Ymax/Bref =  -0.11215975926685814     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1122  0.101078E-02    -0.295468E-04
   -0.1124  0.100817E-02    -0.285029E-04
   -0.1145  0.997125E-03    -0.264293E-04
   -0.1185  0.951530E-03    -0.225364E-04
   -0.1242  0.851816E-03    -0.174417E-04
   -0.1312  0.699768E-03    -0.120730E-04
