
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_712236_16_0c0163                                    
  Mach  =    0.850
  alpha =    1.881    CLtot =    0.149
  beta  =    0.000

  Sref  =  1084.90000
  Bref  =    56.14000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0055575347345920     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.745137E-01     0.148142E-01
    0.0003  0.744053E-01     0.147753E-01
    0.0024  0.741886E-01     0.146975E-01
    0.0065  0.737561E-01     0.145429E-01
    0.0128  0.731095E-01     0.143136E-01
    0.0211  0.722509E-01     0.140124E-01
    0.0314  0.711834E-01     0.136434E-01
    0.0436  0.699104E-01     0.132112E-01
    0.0578  0.684360E-01     0.127214E-01
    0.0738  0.667651E-01     0.121803E-01
    0.0916  0.649038E-01     0.115948E-01
    0.1111  0.628602E-01     0.109723E-01
    0.1322  0.606492E-01     0.103204E-01
    0.1549  0.583020E-01     0.964719E-02
    0.1791  0.558250E-01     0.895744E-02
    0.2047  0.532111E-01     0.825926E-02
    0.2316  0.504745E-01     0.756344E-02
    0.2595  0.476284E-01     0.687773E-02
    0.2885  0.446956E-01     0.620942E-02
    0.3183  0.417088E-01     0.556513E-02
    0.3489  0.387030E-01     0.495057E-02
    0.3801  0.357100E-01     0.437044E-02
    0.4118  0.327602E-01     0.382843E-02
    0.4438  0.298840E-01     0.332715E-02
    0.4770  0.270406E-01     0.285319E-02
    0.5111  0.242789E-01     0.241102E-02
    0.5452  0.216875E-01     0.201582E-02
    0.5791  0.192589E-01     0.166605E-02
    0.6126  0.169882E-01     0.135975E-02
    0.6455  0.148725E-01     0.109459E-02
    0.6779  0.129104E-01     0.867916E-03
    0.7094  0.111010E-01     0.676783E-03
    0.7401  0.944344E-02     0.518028E-03
    0.7696  0.793684E-02     0.388342E-03
    0.7980  0.657967E-02     0.284347E-03
    0.8251  0.536973E-02     0.202667E-03
    0.8508  0.430394E-02     0.140003E-03
    0.8749  0.337811E-02     0.932009E-04
    0.8974  0.258674E-02     0.593152E-04
    0.9182  0.192249E-02     0.356640E-04
    0.9372  0.137517E-02     0.198789E-04
    0.9530  0.956923E-03     0.105191E-04
    0.9659  0.644193E-03     0.530204E-05
    0.9771  0.400170E-03     0.235768E-05
    0.9864  0.222856E-03     0.882296E-06
    0.9939  0.105680E-03     0.255859E-06
    0.9996  0.383609E-04     0.488351E-07
    1.0034  0.807857E-05     0.417861E-08
    1.0053  0.474869E-06     0.572634E-10
    1.0056   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0055575347345920     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.745137E-01    -0.148142E-01
   -0.0003  0.744053E-01    -0.147753E-01
   -0.0024  0.741886E-01    -0.146975E-01
   -0.0065  0.737561E-01    -0.145429E-01
   -0.0128  0.731095E-01    -0.143136E-01
   -0.0211  0.722509E-01    -0.140124E-01
   -0.0314  0.711834E-01    -0.136434E-01
   -0.0436  0.699104E-01    -0.132112E-01
   -0.0578  0.684360E-01    -0.127214E-01
   -0.0738  0.667651E-01    -0.121803E-01
   -0.0916  0.649038E-01    -0.115948E-01
   -0.1111  0.628602E-01    -0.109723E-01
   -0.1322  0.606492E-01    -0.103204E-01
   -0.1549  0.583020E-01    -0.964719E-02
   -0.1791  0.558250E-01    -0.895744E-02
   -0.2047  0.532111E-01    -0.825926E-02
   -0.2316  0.504745E-01    -0.756344E-02
   -0.2595  0.476284E-01    -0.687773E-02
   -0.2885  0.446956E-01    -0.620942E-02
   -0.3183  0.417088E-01    -0.556513E-02
   -0.3489  0.387030E-01    -0.495057E-02
   -0.3801  0.357100E-01    -0.437044E-02
   -0.4118  0.327602E-01    -0.382843E-02
   -0.4438  0.298840E-01    -0.332715E-02
   -0.4770  0.270406E-01    -0.285319E-02
   -0.5111  0.242789E-01    -0.241102E-02
   -0.5452  0.216875E-01    -0.201582E-02
   -0.5791  0.192589E-01    -0.166605E-02
   -0.6126  0.169882E-01    -0.135975E-02
   -0.6455  0.148725E-01    -0.109459E-02
   -0.6779  0.129104E-01    -0.867916E-03
   -0.7094  0.111010E-01    -0.676783E-03
   -0.7401  0.944344E-02    -0.518028E-03
   -0.7696  0.793684E-02    -0.388342E-03
   -0.7980  0.657967E-02    -0.284347E-03
   -0.8251  0.536973E-02    -0.202667E-03
   -0.8508  0.430394E-02    -0.140003E-03
   -0.8749  0.337811E-02    -0.932009E-04
   -0.8974  0.258674E-02    -0.593152E-04
   -0.9182  0.192249E-02    -0.356640E-04
   -0.9372  0.137517E-02    -0.198789E-04
   -0.9530  0.956923E-03    -0.105191E-04
   -0.9659  0.644193E-03    -0.530204E-05
   -0.9771  0.400170E-03    -0.235768E-05
   -0.9864  0.222856E-03    -0.882296E-06
   -0.9939  0.105680E-03    -0.255859E-06
   -0.9996  0.383609E-04    -0.488351E-07
   -1.0034  0.807857E-05    -0.417861E-08
   -1.0053  0.474869E-06    -0.572634E-10
   -1.0056   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.14606341289633060     
     2Ymax/Bref =   0.22645172782329887     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1461  0.814248E-03     0.298415E-04
    0.1464  0.811930E-03     0.287465E-04
    0.1491  0.802031E-03     0.265730E-04
    0.1544  0.760753E-03     0.225073E-04
    0.1618  0.671113E-03     0.172393E-04
    0.1709  0.539381E-03     0.117847E-04
    0.1810  0.394783E-03     0.708977E-05
    0.1915  0.263111E-03     0.366666E-05
    0.2016  0.156187E-03     0.155934E-05
    0.2107  0.784010E-04     0.502270E-06
    0.2181  0.298435E-04     0.104021E-06
    0.2234  0.651387E-05     0.943457E-08
    0.2261  0.392227E-06     0.134339E-09
    0.2265   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.22645172782329887     
     2Ymax/Bref =  -0.14606341289633060     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1461  0.814248E-03    -0.298415E-04
   -0.1464  0.811930E-03    -0.287465E-04
   -0.1491  0.802031E-03    -0.265730E-04
   -0.1544  0.760753E-03    -0.225073E-04
   -0.1618  0.671113E-03    -0.172393E-04
   -0.1709  0.539381E-03    -0.117847E-04
   -0.1810  0.394783E-03    -0.708977E-05
   -0.1915  0.263111E-03    -0.366666E-05
   -0.2016  0.156187E-03    -0.155934E-05
   -0.2107  0.784010E-04    -0.502270E-06
   -0.2181  0.298435E-04    -0.104021E-06
   -0.2234  0.651387E-05    -0.943457E-08
   -0.2261  0.392227E-06    -0.134339E-09
   -0.2265   0.00000         -0.00000    
