
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_713296_17_aa7598                                    
  Mach  =    0.850
  alpha =    2.185    CLtot =    0.167
  beta  =    0.000

  Sref  =   942.20000
  Bref  =    76.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066649310075502     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.830480E-01     0.139574E-01
    0.0003  0.828866E-01     0.139139E-01
    0.0024  0.825640E-01     0.138273E-01
    0.0065  0.819199E-01     0.136555E-01
    0.0128  0.809570E-01     0.134011E-01
    0.0211  0.796789E-01     0.130683E-01
    0.0314  0.780904E-01     0.126624E-01
    0.0436  0.761979E-01     0.121898E-01
    0.0578  0.740093E-01     0.116580E-01
    0.0738  0.715356E-01     0.110755E-01
    0.0916  0.687947E-01     0.104515E-01
    0.1111  0.658340E-01     0.979548E-02
    0.1326  0.626235E-01     0.910536E-02
    0.1561  0.591433E-01     0.839230E-02
    0.1810  0.554483E-01     0.767882E-02
    0.2073  0.515690E-01     0.697570E-02
    0.2348  0.475647E-01     0.629308E-02
    0.2635  0.435229E-01     0.563981E-02
    0.2933  0.395510E-01     0.502278E-02
    0.3239  0.357696E-01     0.444650E-02
    0.3552  0.323032E-01     0.391123E-02
    0.3871  0.291715E-01     0.341685E-02
    0.4194  0.263055E-01     0.296384E-02
    0.4521  0.236658E-01     0.255135E-02
    0.4851  0.212272E-01     0.217838E-02
    0.5181  0.189723E-01     0.184370E-02
    0.5510  0.168881E-01     0.154577E-02
    0.5837  0.149643E-01     0.128285E-02
    0.6161  0.131920E-01     0.105293E-02
    0.6479  0.115635E-01     0.853846E-03
    0.6792  0.100716E-01     0.683278E-03
    0.7097  0.870991E-02     0.538811E-03
    0.7393  0.747192E-02     0.417980E-03
    0.7678  0.635146E-02     0.318309E-03
    0.7953  0.534238E-02     0.237358E-03
    0.8214  0.443859E-02     0.172752E-03
    0.8463  0.363402E-02     0.122221E-03
    0.8696  0.292266E-02     0.836209E-04
    0.8913  0.229860E-02     0.549587E-04
    0.9114  0.175617E-02     0.344076E-04
    0.9298  0.129099E-02     0.203129E-04
    0.9463  0.903837E-03     0.111762E-04
    0.9610  0.597445E-03     0.559614E-05
    0.9738  0.366361E-03     0.246372E-05
    0.9846  0.201543E-03     0.913389E-06
    0.9933  0.944886E-04     0.262682E-06
    0.9998  0.339982E-04     0.497973E-07
    1.0042  0.710516E-05     0.423289E-08
    1.0064  0.412252E-06     0.573083E-10
    1.0067   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0066649310075502     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.830480E-01    -0.139574E-01
   -0.0003  0.828866E-01    -0.139139E-01
   -0.0024  0.825640E-01    -0.138273E-01
   -0.0065  0.819199E-01    -0.136555E-01
   -0.0128  0.809570E-01    -0.134011E-01
   -0.0211  0.796789E-01    -0.130683E-01
   -0.0314  0.780904E-01    -0.126624E-01
   -0.0436  0.761979E-01    -0.121898E-01
   -0.0578  0.740093E-01    -0.116580E-01
   -0.0738  0.715356E-01    -0.110755E-01
   -0.0916  0.687947E-01    -0.104515E-01
   -0.1111  0.658340E-01    -0.979548E-02
   -0.1326  0.626235E-01    -0.910536E-02
   -0.1561  0.591433E-01    -0.839230E-02
   -0.1810  0.554483E-01    -0.767882E-02
   -0.2073  0.515690E-01    -0.697570E-02
   -0.2348  0.475647E-01    -0.629308E-02
   -0.2635  0.435229E-01    -0.563981E-02
   -0.2933  0.395510E-01    -0.502278E-02
   -0.3239  0.357696E-01    -0.444650E-02
   -0.3552  0.323032E-01    -0.391123E-02
   -0.3871  0.291715E-01    -0.341685E-02
   -0.4194  0.263055E-01    -0.296384E-02
   -0.4521  0.236658E-01    -0.255135E-02
   -0.4851  0.212272E-01    -0.217838E-02
   -0.5181  0.189723E-01    -0.184370E-02
   -0.5510  0.168881E-01    -0.154577E-02
   -0.5837  0.149643E-01    -0.128285E-02
   -0.6161  0.131920E-01    -0.105293E-02
   -0.6479  0.115635E-01    -0.853846E-03
   -0.6792  0.100716E-01    -0.683278E-03
   -0.7097  0.870991E-02    -0.538811E-03
   -0.7393  0.747192E-02    -0.417980E-03
   -0.7678  0.635146E-02    -0.318309E-03
   -0.7953  0.534238E-02    -0.237358E-03
   -0.8214  0.443859E-02    -0.172752E-03
   -0.8463  0.363402E-02    -0.122221E-03
   -0.8696  0.292266E-02    -0.836209E-04
   -0.8913  0.229860E-02    -0.549587E-04
   -0.9114  0.175617E-02    -0.344076E-04
   -0.9298  0.129099E-02    -0.203129E-04
   -0.9463  0.903837E-03    -0.111762E-04
   -0.9610  0.597445E-03    -0.559614E-05
   -0.9738  0.366361E-03    -0.246372E-05
   -0.9846  0.201543E-03    -0.913389E-06
   -0.9933  0.944886E-04    -0.262682E-06
   -0.9998  0.339982E-04    -0.497973E-07
   -1.0042  0.710516E-05    -0.423289E-08
   -1.0064  0.412252E-06    -0.573083E-10
   -1.0067   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.10674303566779485     
     2Ymax/Bref =   0.16549075761520438     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1067  0.113370E-02     0.315678E-04
    0.1070  0.113103E-02     0.304534E-04
    0.1090  0.111955E-02     0.282385E-04
    0.1128  0.107094E-02     0.240739E-04
    0.1182  0.961457E-03     0.186094E-04
    0.1249  0.789973E-03     0.128419E-04
    0.1323  0.588021E-03     0.778066E-05
    0.1400  0.395342E-03     0.404148E-05
    0.1474  0.235761E-03     0.172352E-05
    0.1540  0.118698E-03     0.556282E-06
    0.1594  0.452810E-04     0.115387E-06
    0.1633  0.989853E-05     0.104781E-07
    0.1652  0.596602E-06     0.149330E-09
    0.1655   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.16549075761520438     
     2Ymax/Bref =  -0.10674303566779485     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1067  0.113370E-02    -0.315678E-04
   -0.1070  0.113103E-02    -0.304534E-04
   -0.1090  0.111955E-02    -0.282385E-04
   -0.1128  0.107094E-02    -0.240739E-04
   -0.1182  0.961457E-03    -0.186094E-04
   -0.1249  0.789973E-03    -0.128419E-04
