
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_713296_8_8014eb                                     
  Mach  =    0.850
  alpha =    2.532    CLtot =    0.208
  beta  =    0.000

  Sref  =   682.00000
  Bref  =    55.23000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064131812420787     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.103742         0.188619E-01
    0.0003  0.103564         0.188059E-01
    0.0024  0.103208         0.186942E-01
    0.0067  0.102498         0.184724E-01
    0.0132  0.101437         0.181437E-01
    0.0218  0.100027         0.177129E-01
    0.0324  0.982757E-01     0.171863E-01
    0.0450  0.961880E-01     0.165715E-01
    0.0597  0.937722E-01     0.158775E-01
    0.0762  0.910374E-01     0.151141E-01
    0.0946  0.879954E-01     0.142924E-01
    0.1147  0.846618E-01     0.134240E-01
    0.1365  0.810645E-01     0.125213E-01
    0.1606  0.771382E-01     0.115696E-01
    0.1868  0.729007E-01     0.105837E-01
    0.2146  0.684442E-01     0.960372E-02
    0.2437  0.637959E-01     0.864280E-02
    0.2740  0.590305E-01     0.771319E-02
    0.3053  0.542286E-01     0.682546E-02
    0.3377  0.494682E-01     0.598820E-02
    0.3708  0.448319E-01     0.520781E-02
    0.4029  0.406213E-01     0.451912E-02
    0.4338  0.368463E-01     0.391473E-02
    0.4651  0.332812E-01     0.336166E-02
    0.4965  0.299144E-01     0.286003E-02
    0.5280  0.267411E-01     0.240935E-02
    0.5595  0.237606E-01     0.200848E-02
    0.5908  0.209737E-01     0.165568E-02
    0.6217  0.183817E-01     0.134863E-02
    0.6521  0.159854E-01     0.108456E-02
    0.6820  0.137848E-01     0.860314E-03
    0.7111  0.117788E-01     0.672441E-03
    0.7394  0.996490E-02     0.517314E-03
    0.7667  0.833946E-02     0.391215E-03
    0.7929  0.689746E-02     0.290436E-03
    0.8179  0.563272E-02     0.211359E-03
    0.8416  0.453805E-02     0.150531E-03
    0.8639  0.360531E-02     0.104725E-03
    0.8847  0.282523E-02     0.709977E-04
    0.9039  0.218584E-02     0.467313E-04
    0.9227  0.163168E-02     0.286081E-04
    0.9409  0.115420E-02     0.157984E-04
    0.9569  0.775358E-03     0.795016E-05
    0.9708  0.482221E-03     0.352446E-05
    0.9825  0.267478E-03     0.130835E-05
    0.9919  0.125023E-03     0.374140E-06
    0.9990  0.443910E-04     0.701975E-07
    1.0037  0.916406E-05     0.591312E-08
    1.0061  0.533683E-06     0.803331E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064131812420787     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.103742        -0.188619E-01
   -0.0003  0.103564        -0.188059E-01
   -0.0024  0.103208        -0.186942E-01
   -0.0067  0.102498        -0.184724E-01
   -0.0132  0.101437        -0.181437E-01
   -0.0218  0.100027        -0.177129E-01
   -0.0324  0.982757E-01    -0.171863E-01
   -0.0450  0.961880E-01    -0.165715E-01
   -0.0597  0.937722E-01    -0.158775E-01
   -0.0762  0.910374E-01    -0.151141E-01
   -0.0946  0.879954E-01    -0.142924E-01
   -0.1147  0.846618E-01    -0.134240E-01
   -0.1365  0.810645E-01    -0.125213E-01
   -0.1606  0.771382E-01    -0.115696E-01
   -0.1868  0.729007E-01    -0.105837E-01
   -0.2146  0.684442E-01    -0.960372E-02
   -0.2437  0.637959E-01    -0.864280E-02
   -0.2740  0.590305E-01    -0.771319E-02
   -0.3053  0.542286E-01    -0.682546E-02
   -0.3377  0.494682E-01    -0.598820E-02
   -0.3708  0.448319E-01    -0.520781E-02
   -0.4029  0.406213E-01    -0.451912E-02
   -0.4338  0.368463E-01    -0.391473E-02
   -0.4651  0.332812E-01    -0.336166E-02
   -0.4965  0.299144E-01    -0.286003E-02
   -0.5280  0.267411E-01    -0.240935E-02
   -0.5595  0.237606E-01    -0.200848E-02
   -0.5908  0.209737E-01    -0.165568E-02
   -0.6217  0.183817E-01    -0.134863E-02
   -0.6521  0.159854E-01    -0.108456E-02
   -0.6820  0.137848E-01    -0.860314E-03
   -0.7111  0.117788E-01    -0.672441E-03
   -0.7394  0.996490E-02    -0.517314E-03
   -0.7667  0.833946E-02    -0.391215E-03
   -0.7929  0.689746E-02    -0.290436E-03
   -0.8179  0.563272E-02    -0.211359E-03
   -0.8416  0.453805E-02    -0.150531E-03
   -0.8639  0.360531E-02    -0.104725E-03
   -0.8847  0.282523E-02    -0.709977E-04
   -0.9039  0.218584E-02    -0.467313E-04
   -0.9227  0.163168E-02    -0.286081E-04
   -0.9409  0.115420E-02    -0.157984E-04
   -0.9569  0.775358E-03    -0.795016E-05
   -0.9708  0.482221E-03    -0.352446E-05
   -0.9825  0.267478E-03    -0.130835E-05
   -0.9919  0.125023E-03    -0.374140E-06
   -0.9990  0.443910E-04    -0.701975E-07
   -1.0037  0.916406E-05    -0.591312E-08
   -1.0061  0.533683E-06    -0.803331E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.14847003440159334     
     2Ymax/Bref =   0.23018287162773854     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1485  0.146836E-02     0.550942E-04
    0.1488  0.146410E-02     0.530872E-04
    0.1516  0.144601E-02     0.491036E-04
    0.1569  0.137115E-02     0.416539E-04
    0.1645  0.120984E-02     0.320015E-04
    0.1737  0.975096E-03     0.219939E-04
    0.1840  0.719260E-03     0.133380E-04
    0.1947  0.485317E-03     0.696718E-05
    0.2050  0.292300E-03     0.299461E-05
    0.2142  0.148799E-03     0.974250E-06
    0.2217  0.573051E-04     0.203464E-06
    0.2271  0.126117E-04     0.185740E-07
    0.2298  0.763136E-06     0.265683E-09
    0.2302   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.23018287162773854     
     2Ymax/Bref =  -0.14847003440159334     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1485  0.146836E-02    -0.550942E-04
   -0.1488  0.146410E-02    -0.530872E-04
   -0.1516  0.144601E-02    -0.491036E-04
   -0.1569  0.137115E-02    -0.416539E-04
   -0.1645  0.120984E-02    -0.320015E-04
   -0.1737  0.975096E-03    -0.219939E-04
   -0.1840  0.719260E-03    -0.133380E-04
   -0.1947  0.485317E-03    -0.696718E-05
   -0.2050  0.292300E-03    -0.299461E-05
   -0.2142  0.148799E-03    -0.974250E-06
   -0.2217  0.573051E-04    -0.203464E-06
   -0.2271  0.126117E-04    -0.185740E-07
   -0.2298  0.763136E-06    -0.265683E-09
   -0.2302   0.00000         -0.00000    
