
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_713768_2_81c1eb                                     
  Mach  =    0.850
  alpha =    2.004    CLtot =    0.172
  beta  =    0.000

  Sref  =   974.30000
  Bref  =    66.60000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062552552552553     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.856193E-01     0.158445E-01
    0.0003  0.854591E-01     0.157949E-01
    0.0026  0.851389E-01     0.156961E-01
    0.0072  0.844996E-01     0.154999E-01
    0.0142  0.835432E-01     0.152095E-01
    0.0233  0.822723E-01     0.148293E-01
    0.0347  0.806895E-01     0.143652E-01
    0.0483  0.787985E-01     0.138245E-01
    0.0640  0.766042E-01     0.132156E-01
    0.0817  0.741150E-01     0.125480E-01
    0.1014  0.713465E-01     0.118320E-01
    0.1230  0.683440E-01     0.110787E-01
    0.1456  0.652693E-01     0.103248E-01
    0.1690  0.621444E-01     0.957916E-02
    0.1939  0.588756E-01     0.882610E-02
    0.2202  0.554864E-01     0.807517E-02
    0.2477  0.520159E-01     0.733536E-02
    0.2764  0.485039E-01     0.661487E-02
    0.3061  0.449880E-01     0.592087E-02
    0.3367  0.415049E-01     0.525950E-02
    0.3681  0.380906E-01     0.463568E-02
    0.3996  0.348316E-01     0.405970E-02
    0.4310  0.317547E-01     0.353204E-02
    0.4627  0.288239E-01     0.304678E-02
    0.4947  0.260405E-01     0.260444E-02
    0.5267  0.234046E-01     0.220494E-02
    0.5586  0.209175E-01     0.184760E-02
    0.5904  0.185806E-01     0.153120E-02
    0.6218  0.163956E-01     0.125404E-02
    0.6527  0.143636E-01     0.101399E-02
    0.6830  0.124849E-01     0.808572E-03
    0.7126  0.107591E-01     0.635065E-03
    0.7413  0.918474E-02     0.490543E-03
    0.7691  0.775917E-02     0.371984E-03
    0.7957  0.647874E-02     0.276334E-03
    0.8211  0.533876E-02     0.200584E-03
    0.8452  0.433356E-02     0.141829E-03
    0.8678  0.345666E-02     0.973222E-04
    0.8889  0.270108E-02     0.645182E-04
    0.9084  0.205978E-02     0.411016E-04
    0.9262  0.152633E-02     0.250042E-04
    0.9422  0.109531E-02     0.144133E-04
    0.9572  0.739513E-03     0.746580E-05
    0.9710  0.455038E-03     0.330081E-05
    0.9826  0.251950E-03     0.123029E-05
    0.9919  0.118999E-03     0.355553E-06
    0.9989  0.430058E-04     0.675927E-07
    1.0036  0.899575E-05     0.575087E-08
    1.0060  0.523984E-06     0.781430E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062552552552553     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.856193E-01    -0.158445E-01
   -0.0003  0.854591E-01    -0.157949E-01
   -0.0026  0.851389E-01    -0.156961E-01
   -0.0072  0.844996E-01    -0.154999E-01
   -0.0142  0.835432E-01    -0.152095E-01
   -0.0233  0.822723E-01    -0.148293E-01
   -0.0347  0.806895E-01    -0.143652E-01
   -0.0483  0.787985E-01    -0.138245E-01
   -0.0640  0.766042E-01    -0.132156E-01
   -0.0817  0.741150E-01    -0.125480E-01
   -0.1014  0.713465E-01    -0.118320E-01
   -0.1230  0.683440E-01    -0.110787E-01
   -0.1456  0.652693E-01    -0.103248E-01
   -0.1690  0.621444E-01    -0.957916E-02
   -0.1939  0.588756E-01    -0.882610E-02
   -0.2202  0.554864E-01    -0.807517E-02
   -0.2477  0.520159E-01    -0.733536E-02
   -0.2764  0.485039E-01    -0.661487E-02
   -0.3061  0.449880E-01    -0.592087E-02
   -0.3367  0.415049E-01    -0.525950E-02
   -0.3681  0.380906E-01    -0.463568E-02
   -0.3996  0.348316E-01    -0.405970E-02
   -0.4310  0.317547E-01    -0.353204E-02
   -0.4627  0.288239E-01    -0.304678E-02
   -0.4947  0.260405E-01    -0.260444E-02
   -0.5267  0.234046E-01    -0.220494E-02
   -0.5586  0.209175E-01    -0.184760E-02
   -0.5904  0.185806E-01    -0.153120E-02
   -0.6218  0.163956E-01    -0.125404E-02
   -0.6527  0.143636E-01    -0.101399E-02
   -0.6830  0.124849E-01    -0.808572E-03
   -0.7126  0.107591E-01    -0.635065E-03
   -0.7413  0.918474E-02    -0.490543E-03
   -0.7691  0.775917E-02    -0.371984E-03
   -0.7957  0.647874E-02    -0.276334E-03
   -0.8211  0.533876E-02    -0.200584E-03
   -0.8452  0.433356E-02    -0.141829E-03
   -0.8678  0.345666E-02    -0.973222E-04
   -0.8889  0.270108E-02    -0.645182E-04
   -0.9084  0.205978E-02    -0.411016E-04
   -0.9262  0.152633E-02    -0.250042E-04
   -0.9422  0.109531E-02    -0.144133E-04
   -0.9572  0.739513E-03    -0.746580E-05
   -0.9710  0.455038E-03    -0.330081E-05
   -0.9826  0.251950E-03    -0.123029E-05
   -0.9919  0.118999E-03    -0.355553E-06
   -0.9989  0.430058E-04    -0.675927E-07
   -1.0036  0.899575E-05    -0.575087E-08
   -1.0060  0.523984E-06    -0.781430E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12312312312312312     
     2Ymax/Bref =   0.19088588588588590     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1231  0.912987E-03     0.293665E-04
    0.1234  0.910522E-03     0.283315E-04
    0.1257  0.900218E-03     0.262760E-04
    0.1301  0.858323E-03     0.224196E-04
    0.1364  0.768422E-03     0.173745E-04
    0.1440  0.633135E-03     0.120509E-04
    0.1526  0.475843E-03     0.735274E-05
    0.1614  0.323631E-03     0.384629E-05
    0.1700  0.194834E-03     0.164982E-05
    0.1776  0.987377E-04     0.534733E-06
    0.1839  0.378193E-04     0.111225E-06
    0.1883  0.828582E-05     0.101176E-07
    0.1906  0.499930E-06     0.144335E-09
    0.1909   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19088588588588590     
     2Ymax/Bref =  -0.12312312312312312     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1231  0.912987E-03    -0.293665E-04
   -0.1234  0.910522E-03    -0.283315E-04
   -0.1257  0.900218E-03    -0.262760E-04
   -0.1301  0.858323E-03    -0.224196E-04
   -0.1364  0.768422E-03    -0.173745E-04
   -0.1440  0.633135E-03    -0.120509E-04
   -0.1526  0.475843E-03    -0.735274E-05
   -0.1614  0.323631E-03    -0.384629E-05
   -0.1700  0.194834E-03    -0.164982E-05
   -0.1776  0.987377E-04    -0.534733E-06
   -0.1839  0.378193E-04    -0.111225E-06
   -0.1883  0.828582E-05    -0.101176E-07
   -0.1906  0.499930E-06    -0.144335E-09
   -0.1909   0.00000         -0.00000    
