
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_742392_0_46e1f8                                     
  Mach  =    0.850
  alpha =    1.816    CLtot =    0.166
  beta  =    0.000

  Sref  =  1013.20000
  Bref  =    70.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066111268003390     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.826110E-01     0.150064E-01
    0.0003  0.824639E-01     0.149619E-01
    0.0024  0.821698E-01     0.148733E-01
    0.0067  0.815826E-01     0.146973E-01
    0.0132  0.807045E-01     0.144366E-01
    0.0217  0.795380E-01     0.140951E-01
    0.0323  0.780861E-01     0.136780E-01
    0.0449  0.763524E-01     0.131914E-01
    0.0595  0.743415E-01     0.126426E-01
    0.0759  0.720598E-01     0.120399E-01
    0.0942  0.695193E-01     0.113923E-01
    0.1143  0.667601E-01     0.107092E-01
    0.1364  0.637669E-01     0.998830E-02
    0.1605  0.605348E-01     0.924038E-02
    0.1861  0.571115E-01     0.848772E-02
    0.2131  0.535166E-01     0.774088E-02
    0.2414  0.497978E-01     0.700990E-02
    0.2709  0.460317E-01     0.630371E-02
    0.3015  0.423028E-01     0.562956E-02
    0.3329  0.386921E-01     0.499281E-02
    0.3643  0.353676E-01     0.440943E-02
    0.3954  0.323422E-01     0.387757E-02
    0.4270  0.295010E-01     0.338432E-02
    0.4590  0.268227E-01     0.293021E-02
    0.4911  0.242956E-01     0.251540E-02
    0.5234  0.219127E-01     0.213963E-02
    0.5555  0.196698E-01     0.180220E-02
    0.5875  0.175641E-01     0.150201E-02
    0.6191  0.155932E-01     0.123755E-02
    0.6502  0.137549E-01     0.100702E-02
    0.6808  0.120472E-01     0.808332E-03
    0.7105  0.104677E-01     0.639177E-03
    0.7394  0.901389E-02     0.497089E-03
    0.7673  0.768307E-02     0.379500E-03
    0.7941  0.647235E-02     0.283787E-03
    0.8197  0.537885E-02     0.207328E-03
    0.8439  0.439978E-02     0.147541E-03
    0.8667  0.353274E-02     0.101927E-03
    0.8880  0.277596E-02     0.681008E-04
    0.9076  0.212847E-02     0.438215E-04
    0.9255  0.158977E-02     0.270228E-04
    0.9416  0.115742E-02     0.158526E-04
    0.9568  0.798075E-03     0.836498E-05
    0.9708  0.502158E-03     0.375880E-05
    0.9825  0.283516E-03     0.142092E-05
    0.9920  0.136077E-03     0.415599E-06
    0.9991  0.498462E-04     0.798234E-07
    1.0039  0.105445E-04     0.685275E-08
    1.0063  0.618980E-06     0.937909E-10
    1.0066   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0066111268003390     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.826110E-01    -0.150064E-01
   -0.0003  0.824639E-01    -0.149619E-01
   -0.0024  0.821698E-01    -0.148733E-01
   -0.0067  0.815826E-01    -0.146973E-01
   -0.0132  0.807045E-01    -0.144366E-01
   -0.0217  0.795380E-01    -0.140951E-01
   -0.0323  0.780861E-01    -0.136780E-01
   -0.0449  0.763524E-01    -0.131914E-01
   -0.0595  0.743415E-01    -0.126426E-01
   -0.0759  0.720598E-01    -0.120399E-01
   -0.0942  0.695193E-01    -0.113923E-01
   -0.1143  0.667601E-01    -0.107092E-01
   -0.1364  0.637669E-01    -0.998830E-02
   -0.1605  0.605348E-01    -0.924038E-02
   -0.1861  0.571115E-01    -0.848772E-02
   -0.2131  0.535166E-01    -0.774088E-02
   -0.2414  0.497978E-01    -0.700990E-02
   -0.2709  0.460317E-01    -0.630371E-02
   -0.3015  0.423028E-01    -0.562956E-02
   -0.3329  0.386921E-01    -0.499281E-02
   -0.3643  0.353676E-01    -0.440943E-02
   -0.3954  0.323422E-01    -0.387757E-02
   -0.4270  0.295010E-01    -0.338432E-02
   -0.4590  0.268227E-01    -0.293021E-02
   -0.4911  0.242956E-01    -0.251540E-02
   -0.5234  0.219127E-01    -0.213963E-02
   -0.5555  0.196698E-01    -0.180220E-02
   -0.5875  0.175641E-01    -0.150201E-02
   -0.6191  0.155932E-01    -0.123755E-02
   -0.6502  0.137549E-01    -0.100702E-02
   -0.6808  0.120472E-01    -0.808332E-03
   -0.7105  0.104677E-01    -0.639177E-03
   -0.7394  0.901389E-02    -0.497089E-03
   -0.7673  0.768307E-02    -0.379500E-03
   -0.7941  0.647235E-02    -0.283787E-03
   -0.8197  0.537885E-02    -0.207328E-03
   -0.8439  0.439978E-02    -0.147541E-03
   -0.8667  0.353274E-02    -0.101927E-03
   -0.8880  0.277596E-02    -0.681008E-04
   -0.9076  0.212847E-02    -0.438215E-04
   -0.9255  0.158977E-02    -0.270228E-04
   -0.9416  0.115742E-02    -0.158526E-04
   -0.9568  0.798075E-03    -0.836498E-05
   -0.9708  0.502158E-03    -0.375880E-05
   -0.9825  0.283516E-03    -0.142092E-05
   -0.9920  0.136077E-03    -0.415599E-06
   -0.9991  0.498462E-04    -0.798234E-07
   -1.0039  0.105445E-04    -0.685275E-08
   -1.0063  0.618980E-06    -0.937909E-10
   -1.0066   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11578650098842135     
     2Ymax/Bref =   0.17951143744704887     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1158  0.107081E-02     0.318835E-04
    0.1161  0.106817E-02     0.307418E-04
    0.1182  0.105680E-02     0.284733E-04
    0.1224  0.100874E-02     0.242135E-04
    0.1283  0.901022E-03     0.186437E-04
    0.1355  0.734483E-03     0.128016E-04
    0.1435  0.542056E-03     0.771582E-05
    0.1518  0.361721E-03     0.398811E-05
    0.1598  0.214316E-03     0.169315E-05
    0.1670  0.107300E-03     0.544338E-06
    0.1729  0.407499E-04     0.112547E-06
    0.1771  0.888003E-05     0.101950E-07
    0.1792  0.534218E-06     0.145044E-09
    0.1795   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.17951143744704887     
     2Ymax/Bref =  -0.11578650098842135     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1158  0.107081E-02    -0.318835E-04
   -0.1161  0.106817E-02    -0.307418E-04
   -0.1182  0.105680E-02    -0.284733E-04
   -0.1224  0.100874E-02    -0.242135E-04
   -0.1283  0.901022E-03    -0.186437E-04
   -0.1355  0.734483E-03    -0.128016E-04
   -0.1435  0.542056E-03    -0.771582E-05
   -0.1518  0.361721E-03    -0.398811E-05
   -0.1598  0.214316E-03    -0.169315E-05
   -0.1670  0.107300E-03    -0.544338E-06
   -0.1729  0.407499E-04    -0.112547E-06
   -0.1771  0.888003E-05    -0.101950E-07
