
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_746820_6_b8603c                                     
  Mach  =    0.850
  alpha =    1.475    CLtot =    0.151
  beta  =    0.000

  Sref  =  1171.60000
  Bref  =    75.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0070904774465841     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.754124E-01     0.140077E-01
    0.0003  0.752902E-01     0.139696E-01
    0.0023  0.750457E-01     0.138937E-01
    0.0063  0.745577E-01     0.137430E-01
    0.0123  0.738278E-01     0.135195E-01
    0.0203  0.728578E-01     0.132264E-01
    0.0303  0.716498E-01     0.128678E-01
    0.0421  0.702063E-01     0.124487E-01
    0.0557  0.685302E-01     0.119750E-01
    0.0712  0.666265E-01     0.114533E-01
    0.0884  0.645057E-01     0.108909E-01
    0.1072  0.622075E-01     0.102954E-01
    0.1283  0.596780E-01     0.965200E-02
    0.1517  0.569132E-01     0.897004E-02
    0.1766  0.539941E-01     0.828029E-02
    0.2028  0.509320E-01     0.759170E-02
    0.2304  0.477651E-01     0.691288E-02
    0.2590  0.445476E-01     0.625157E-02
    0.2887  0.413304E-01     0.561446E-02
    0.3195  0.381582E-01     0.500081E-02
    0.3511  0.350924E-01     0.441555E-02
    0.3834  0.321618E-01     0.386742E-02
    0.4162  0.293558E-01     0.335833E-02
    0.4494  0.266699E-01     0.288964E-02
    0.4828  0.241034E-01     0.246215E-02
    0.5162  0.216580E-01     0.207603E-02
    0.5496  0.193369E-01     0.173087E-02
    0.5827  0.171439E-01     0.142569E-02
    0.6155  0.150829E-01     0.115900E-02
    0.6478  0.131579E-01     0.928831E-03
    0.6795  0.113718E-01     0.732842E-03
    0.7104  0.972722E-02     0.568366E-03
    0.7404  0.822536E-02     0.432509E-03
    0.7693  0.686644E-02     0.322230E-03
    0.7971  0.564941E-02     0.234423E-03
    0.8237  0.457194E-02     0.166001E-03
    0.8488  0.363038E-02     0.113967E-03
    0.8725  0.281985E-02     0.754826E-04
    0.8945  0.213421E-02     0.479215E-04
    0.9149  0.156604E-02     0.289151E-04
    0.9334  0.110643E-02     0.163873E-04
    0.9498  0.752695E-03     0.871663E-05
    0.9638  0.489515E-03     0.429729E-05
    0.9760  0.296260E-03     0.187852E-05
    0.9862  0.161935E-03     0.693830E-06
    0.9944  0.757465E-04     0.199010E-06
    1.0006  0.271368E-04     0.375604E-07
    1.0048  0.561945E-05     0.316916E-08
    1.0068  0.323615E-06     0.426078E-10
    1.0071   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0070904774465841     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.754124E-01    -0.140077E-01
   -0.0003  0.752902E-01    -0.139696E-01
   -0.0023  0.750457E-01    -0.138937E-01
   -0.0063  0.745577E-01    -0.137430E-01
   -0.0123  0.738278E-01    -0.135195E-01
   -0.0203  0.728578E-01    -0.132264E-01
   -0.0303  0.716498E-01    -0.128678E-01
   -0.0421  0.702063E-01    -0.124487E-01
   -0.0557  0.685302E-01    -0.119750E-01
