
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_749520_12_b379cb                                    
  Mach  =    0.850
  alpha =    2.153    CLtot =    0.182
  beta  =    0.000

  Sref  =   850.10000
  Bref  =    67.66000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064883239728053     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.905018E-01     0.158016E-01
    0.0003  0.903415E-01     0.157552E-01
    0.0023  0.900209E-01     0.156625E-01
    0.0064  0.893811E-01     0.154786E-01
    0.0125  0.884242E-01     0.152061E-01
    0.0207  0.871535E-01     0.148492E-01
    0.0308  0.855731E-01     0.144131E-01
    0.0428  0.836876E-01     0.139043E-01
    0.0567  0.815031E-01     0.133304E-01
    0.0724  0.790273E-01     0.126999E-01
    0.0899  0.762712E-01     0.120222E-01
    0.1090  0.732553E-01     0.113072E-01
    0.1298  0.700246E-01     0.105651E-01
    0.1522  0.665672E-01     0.979856E-02
    0.1763  0.628671E-01     0.901882E-02
    0.2018  0.589780E-01     0.824426E-02
    0.2284  0.549612E-01     0.748516E-02
    0.2562  0.508850E-01     0.675067E-02
    0.2850  0.468182E-01     0.604854E-02
    0.3146  0.428380E-01     0.538483E-02
    0.3450  0.390258E-01     0.476369E-02
    0.3766  0.353776E-01     0.417189E-02
    0.4095  0.319336E-01     0.361387E-02
    0.4427  0.287401E-01     0.310540E-02
    0.4761  0.257703E-01     0.264564E-02
    0.5096  0.230076E-01     0.223334E-02
    0.5431  0.204416E-01     0.186687E-02
    0.5763  0.180646E-01     0.154418E-02
    0.6091  0.158706E-01     0.126285E-02
    0.6415  0.138539E-01     0.102016E-02
    0.6732  0.120089E-01     0.813154E-03
    0.7042  0.103300E-01     0.638706E-03
    0.7342  0.881082E-02     0.493602E-03
    0.7632  0.744477E-02     0.374609E-03
    0.7911  0.622453E-02     0.278540E-03
    0.8176  0.514226E-02     0.202316E-03
    0.8428  0.418950E-02     0.143013E-03
    0.8665  0.335714E-02     0.979072E-04
    0.8886  0.263537E-02     0.645099E-04
    0.9090  0.201433E-02     0.405844E-04
    0.9276  0.148692E-02     0.241425E-04
    0.9446  0.104701E-02     0.132924E-04
    0.9597  0.693135E-03     0.660537E-05
    0.9729  0.423649E-03     0.289212E-05
    0.9839  0.231374E-03     0.106276E-05
    0.9928  0.107015E-03     0.301804E-06
    0.9995  0.377723E-04     0.563831E-07
    1.0040  0.776930E-05     0.473547E-08
    1.0062  0.451148E-06     0.641605E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064883239728053     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.905018E-01    -0.158016E-01
   -0.0003  0.903415E-01    -0.157552E-01
   -0.0023  0.900209E-01    -0.156625E-01
   -0.0064  0.893811E-01    -0.154786E-01
   -0.0125  0.884242E-01    -0.152061E-01
   -0.0207  0.871535E-01    -0.148492E-01
   -0.0308  0.855731E-01    -0.144131E-01
   -0.0428  0.836876E-01    -0.139043E-01
   -0.0567  0.815031E-01    -0.133304E-01
   -0.0724  0.790273E-01    -0.126999E-01
   -0.0899  0.762712E-01    -0.120222E-01
   -0.1090  0.732553E-01    -0.113072E-01
   -0.1298  0.700246E-01    -0.105651E-01
   -0.1522  0.665672E-01    -0.979856E-02
   -0.1763  0.628671E-01    -0.901882E-02
   -0.2018  0.589780E-01    -0.824426E-02
   -0.2284  0.549612E-01    -0.748516E-02
   -0.2562  0.508850E-01    -0.675067E-02
   -0.2850  0.468182E-01    -0.604854E-02
   -0.3146  0.428380E-01    -0.538483E-02
   -0.3450  0.390258E-01    -0.476369E-02
   -0.3766  0.353776E-01    -0.417189E-02
   -0.4095  0.319336E-01    -0.361387E-02
   -0.4427  0.287401E-01    -0.310540E-02
   -0.4761  0.257703E-01    -0.264564E-02
   -0.5096  0.230076E-01    -0.223334E-02
   -0.5431  0.204416E-01    -0.186687E-02
   -0.5763  0.180646E-01    -0.154418E-02
   -0.6091  0.158706E-01    -0.126285E-02
   -0.6415  0.138539E-01    -0.102016E-02
   -0.6732  0.120089E-01    -0.813154E-03
   -0.7042  0.103300E-01    -0.638706E-03
   -0.7342  0.881082E-02    -0.493602E-03
   -0.7632  0.744477E-02    -0.374609E-03
   -0.7911  0.622453E-02    -0.278540E-03
   -0.8176  0.514226E-02    -0.202316E-03
   -0.8428  0.418950E-02    -0.143013E-03
   -0.8665  0.335714E-02    -0.979072E-04
   -0.8886  0.263537E-02    -0.645099E-04
   -0.9090  0.201433E-02    -0.405844E-04
   -0.9276  0.148692E-02    -0.241425E-04
   -0.9446  0.104701E-02    -0.132924E-04
   -0.9597  0.693135E-03    -0.660537E-05
   -0.9729  0.423649E-03    -0.289212E-05
   -0.9839  0.231374E-03    -0.106276E-05
   -0.9928  0.107015E-03    -0.301804E-06
   -0.9995  0.377723E-04    -0.563831E-07
   -1.0040  0.776930E-05    -0.473547E-08
   -1.0062  0.451148E-06    -0.641605E-10
   -1.0065   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12119420632574637     
     2Ymax/Bref =   0.18789535914868460     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1212  0.105667E-02     0.326626E-04
    0.1215  0.105380E-02     0.314835E-04
    0.1237  0.104159E-02     0.291422E-04
    0.1281  0.990926E-03     0.247547E-04
    0.1342  0.880213E-03     0.190426E-04
    0.1418  0.713845E-03     0.130827E-04
    0.1502  0.526441E-03     0.791057E-05
    0.1589  0.353178E-03     0.411305E-05
    0.1673  0.211234E-03     0.175938E-05
    0.1748  0.106879E-03     0.570016E-06
    0.1810  0.409738E-04     0.118661E-06
    0.1854  0.899067E-05     0.108072E-07
    0.1876  0.543115E-06     0.154346E-09
    0.1879   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18789535914868460     
     2Ymax/Bref =  -0.12119420632574637     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1212  0.105667E-02    -0.326626E-04
   -0.1215  0.105380E-02    -0.314835E-04
   -0.1237  0.104159E-02    -0.291422E-04
   -0.1281  0.990926E-03    -0.247547E-04
   -0.1342  0.880213E-03    -0.190426E-04
   -0.1418  0.713845E-03    -0.130827E-04
   -0.1502  0.526441E-03    -0.791057E-05
   -0.1589  0.353178E-03    -0.411305E-05
   -0.1673  0.211234E-03    -0.175938E-05
   -0.1748  0.106879E-03    -0.570016E-06
   -0.1810  0.409738E-04    -0.118661E-06
   -0.1854  0.899067E-05    -0.108072E-07
   -0.1876  0.543115E-06    -0.154346E-09
   -0.1879   0.00000         -0.00000    
