
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_752736_18_27505b                                    
  Mach  =    0.850
  alpha =    1.565    CLtot =    0.162
  beta  =    0.000

  Sref  =   951.90000
  Bref  =    77.37000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067287062168799     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.812322E-01     0.141711E-01
    0.0003  0.810745E-01     0.141249E-01
    0.0026  0.807591E-01     0.140326E-01
    0.0071  0.801295E-01     0.138495E-01
    0.0139  0.791882E-01     0.135785E-01
    0.0230  0.779386E-01     0.132240E-01
    0.0342  0.763852E-01     0.127915E-01
    0.0475  0.745336E-01     0.122880E-01
    0.0630  0.723903E-01     0.117214E-01
    0.0804  0.699637E-01     0.111009E-01
    0.0998  0.672693E-01     0.104362E-01
    0.1210  0.643315E-01     0.973774E-02
    0.1427  0.613338E-01     0.905943E-02
    0.1644  0.582709E-01     0.840881E-02
    0.1876  0.549805E-01     0.775377E-02
    0.2120  0.515104E-01     0.710383E-02
    0.2376  0.479277E-01     0.646777E-02
    0.2643  0.443077E-01     0.585327E-02
    0.2919  0.407355E-01     0.526650E-02
    0.3203  0.373032E-01     0.471185E-02
    0.3505  0.339877E-01     0.417102E-02
    0.3824  0.308426E-01     0.364983E-02
    0.4147  0.279339E-01     0.317004E-02
    0.4474  0.252249E-01     0.273139E-02
    0.4804  0.226959E-01     0.233341E-02
    0.5133  0.203348E-01     0.197527E-02
    0.5463  0.181337E-01     0.165579E-02
    0.5790  0.160865E-01     0.137342E-02
    0.6113  0.141885E-01     0.112628E-02
    0.6432  0.124351E-01     0.912250E-03
    0.6744  0.108219E-01     0.728958E-03
    0.7049  0.934463E-02     0.573891E-03
    0.7345  0.799864E-02     0.444432E-03
    0.7630  0.677917E-02     0.337916E-03
    0.7905  0.568121E-02     0.251688E-03
    0.8166  0.469963E-02     0.183144E-03
    0.8414  0.382920E-02     0.129775E-03
    0.8647  0.306479E-02     0.892027E-04
    0.8865  0.240150E-02     0.592057E-04
    0.9066  0.183482E-02     0.377418E-04
    0.9249  0.136078E-02     0.229656E-04
    0.9414  0.975800E-03     0.132421E-04
    0.9560  0.675750E-03     0.716253E-05
    0.9695  0.434424E-03     0.337361E-05
    0.9817  0.245119E-03     0.127315E-05
    0.9916  0.117271E-03     0.371222E-06
    0.9990  0.427507E-04     0.710201E-07
    1.0039  0.899593E-05     0.607025E-08
    1.0064  0.524612E-06     0.825734E-10
    1.0067   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0067287062168799     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.812322E-01    -0.141711E-01
   -0.0003  0.810745E-01    -0.141249E-01
   -0.0026  0.807591E-01    -0.140326E-01
   -0.0071  0.801295E-01    -0.138495E-01
   -0.0139  0.791882E-01    -0.135785E-01
   -0.0230  0.779386E-01    -0.132240E-01
   -0.0342  0.763852E-01    -0.127915E-01
   -0.0475  0.745336E-01    -0.122880E-01
   -0.0630  0.723903E-01    -0.117214E-01
   -0.0804  0.699637E-01    -0.111009E-01
   -0.0998  0.672693E-01    -0.104362E-01
   -0.1210  0.643315E-01    -0.973774E-02
   -0.1427  0.613338E-01    -0.905943E-02
   -0.1644  0.582709E-01    -0.840881E-02
   -0.1876  0.549805E-01    -0.775377E-02
   -0.2120  0.515104E-01    -0.710383E-02
   -0.2376  0.479277E-01    -0.646777E-02
   -0.2643  0.443077E-01    -0.585327E-02
   -0.2919  0.407355E-01    -0.526650E-02
   -0.3203  0.373032E-01    -0.471185E-02
   -0.3505  0.339877E-01    -0.417102E-02
   -0.3824  0.308426E-01    -0.364983E-02
   -0.4147  0.279339E-01    -0.317004E-02
   -0.4474  0.252249E-01    -0.273139E-02
   -0.4804  0.226959E-01    -0.233341E-02
   -0.5133  0.203348E-01    -0.197527E-02
   -0.5463  0.181337E-01    -0.165579E-02
   -0.5790  0.160865E-01    -0.137342E-02
   -0.6113  0.141885E-01    -0.112628E-02
   -0.6432  0.124351E-01    -0.912250E-03
   -0.6744  0.108219E-01    -0.728958E-03
   -0.7049  0.934463E-02    -0.573891E-03
   -0.7345  0.799864E-02    -0.444432E-03
   -0.7630  0.677917E-02    -0.337916E-03
   -0.7905  0.568121E-02    -0.251688E-03
   -0.8166  0.469963E-02    -0.183144E-03
   -0.8414  0.382920E-02    -0.129775E-03
   -0.8647  0.306479E-02    -0.892027E-04
   -0.8865  0.240150E-02    -0.592057E-04
   -0.9066  0.183482E-02    -0.377418E-04
   -0.9249  0.136078E-02    -0.229656E-04
   -0.9414  0.975800E-03    -0.132421E-04
   -0.9560  0.675750E-03    -0.716253E-05
   -0.9695  0.434424E-03    -0.337361E-05
   -0.9817  0.245119E-03    -0.127315E-05
   -0.9916  0.117271E-03    -0.371222E-06
   -0.9990  0.427507E-04    -0.710201E-07
   -1.0039  0.899593E-05    -0.607025E-08
   -1.0064  0.524612E-06    -0.825734E-10
   -1.0067   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.10598423161432079     
     2Ymax/Bref =   0.16431433372108051     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1060  0.513184E-03     0.135223E-04
    0.1062  0.511385E-03     0.130217E-04
    0.1082  0.504013E-03     0.120295E-04
    0.1120  0.475106E-03     0.101812E-04
    0.1174  0.416323E-03     0.780146E-05
    0.1240  0.333899E-03     0.534853E-05
    0.1313  0.245447E-03     0.323579E-05
    0.1390  0.165054E-03     0.168598E-05
    0.1463  0.990395E-04     0.722890E-06
    0.1529  0.502634E-04     0.234728E-06
    0.1583  0.193221E-04     0.489614E-07
    0.1621  0.424874E-05     0.446664E-08
    0.1641  0.256994E-06     0.638686E-10
    0.1643   0.00000          0.00000    
   
 Surface:   4  
