
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_752736_7_6bcc53                                     
  Mach  =    0.850
  alpha =    1.709    CLtot =    0.164
  beta  =    0.000

  Sref  =   925.50000
  Bref  =    69.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063259988419224     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.820026E-01     0.146323E-01
    0.0003  0.818519E-01     0.145861E-01
    0.0025  0.815507E-01     0.144939E-01
    0.0071  0.809496E-01     0.143108E-01
    0.0138  0.800512E-01     0.140397E-01
    0.0227  0.788596E-01     0.136847E-01
    0.0338  0.773801E-01     0.132512E-01
    0.0471  0.756193E-01     0.127459E-01
    0.0623  0.735849E-01     0.121763E-01
    0.0796  0.712856E-01     0.115511E-01
    0.0988  0.687326E-01     0.108797E-01
    0.1198  0.659470E-01     0.101721E-01
    0.1416  0.630700E-01     0.947152E-02
    0.1638  0.600949E-01     0.878631E-02
    0.1875  0.568960E-01     0.809427E-02
    0.2125  0.534972E-01     0.740520E-02
    0.2387  0.499476E-01     0.672849E-02
    0.2659  0.463143E-01     0.607259E-02
    0.2942  0.426681E-01     0.544469E-02
    0.3233  0.390860E-01     0.485043E-02
    0.3531  0.356464E-01     0.429366E-02
    0.3842  0.323523E-01     0.376217E-02
    0.4165  0.292457E-01     0.325999E-02
    0.4492  0.263639E-01     0.280171E-02
    0.4821  0.236763E-01     0.238666E-02
    0.5150  0.211671E-01     0.201391E-02
    0.5479  0.188269E-01     0.168219E-02
    0.5805  0.166501E-01     0.138982E-02
    0.6128  0.146324E-01     0.113479E-02
    0.6447  0.127703E-01     0.914777E-03
    0.6759  0.110604E-01     0.727204E-03
    0.7063  0.949914E-02     0.569318E-03
    0.7358  0.808227E-02     0.438250E-03
    0.7644  0.680520E-02     0.331082E-03
    0.7918  0.566273E-02     0.244912E-03
    0.8179  0.464912E-02     0.176911E-03
    0.8427  0.375822E-02     0.124370E-03
    0.8660  0.298357E-02     0.847445E-04
    0.8877  0.231856E-02     0.556857E-04
    0.9077  0.175655E-02     0.350652E-04
    0.9260  0.129087E-02     0.209923E-04
    0.9425  0.914493E-03     0.118266E-04
    0.9571  0.619568E-03     0.618684E-05
    0.9704  0.385815E-03     0.281489E-05
    0.9822  0.210472E-03     0.103356E-05
    0.9917  0.973245E-04     0.293191E-06
    0.9988  0.342586E-04     0.546157E-07
    1.0036  0.700236E-05     0.456308E-08
    1.0060  0.403669E-06     0.614073E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063259988419224     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.820026E-01    -0.146323E-01
   -0.0003  0.818519E-01    -0.145861E-01
   -0.0025  0.815507E-01    -0.144939E-01
   -0.0071  0.809496E-01    -0.143108E-01
   -0.0138  0.800512E-01    -0.140397E-01
   -0.0227  0.788596E-01    -0.136847E-01
   -0.0338  0.773801E-01    -0.132512E-01
   -0.0471  0.756193E-01    -0.127459E-01
   -0.0623  0.735849E-01    -0.121763E-01
   -0.0796  0.712856E-01    -0.115511E-01
   -0.0988  0.687326E-01    -0.108797E-01
   -0.1198  0.659470E-01    -0.101721E-01
   -0.1416  0.630700E-01    -0.947152E-02
   -0.1638  0.600949E-01    -0.878631E-02
   -0.1875  0.568960E-01    -0.809427E-02
   -0.2125  0.534972E-01    -0.740520E-02
   -0.2387  0.499476E-01    -0.672849E-02
   -0.2659  0.463143E-01    -0.607259E-02
   -0.2942  0.426681E-01    -0.544469E-02
   -0.3233  0.390860E-01    -0.485043E-02
   -0.3531  0.356464E-01    -0.429366E-02
   -0.3842  0.323523E-01    -0.376217E-02
   -0.4165  0.292457E-01    -0.325999E-02
   -0.4492  0.263639E-01    -0.280171E-02
   -0.4821  0.236763E-01    -0.238666E-02
   -0.5150  0.211671E-01    -0.201391E-02
   -0.5479  0.188269E-01    -0.168219E-02
   -0.5805  0.166501E-01    -0.138982E-02
   -0.6128  0.146324E-01    -0.113479E-02
   -0.6447  0.127703E-01    -0.914777E-03
   -0.6759  0.110604E-01    -0.727204E-03
   -0.7063  0.949914E-02    -0.569318E-03
   -0.7358  0.808227E-02    -0.438250E-03
   -0.7644  0.680520E-02    -0.331082E-03
   -0.7918  0.566273E-02    -0.244912E-03
   -0.8179  0.464912E-02    -0.176911E-03
   -0.8427  0.375822E-02    -0.124370E-03
   -0.8660  0.298357E-02    -0.847445E-04
   -0.8877  0.231856E-02    -0.556857E-04
   -0.9077  0.175655E-02    -0.350652E-04
   -0.9260  0.129087E-02    -0.209923E-04
   -0.9425  0.914493E-03    -0.118266E-04
   -0.9571  0.619568E-03    -0.618684E-05
   -0.9704  0.385815E-03    -0.281489E-05
   -0.9822  0.210472E-03    -0.103356E-05
   -0.9917  0.973245E-04    -0.293191E-06
   -0.9988  0.342586E-04    -0.546157E-07
   -1.0036  0.700236E-05    -0.456308E-08
   -1.0060  0.403669E-06    -0.614073E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11870295309785756     
     2Ymax/Bref =   0.18403300521134916     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1187  0.570170E-03     0.174591E-04
    0.1190  0.568529E-03     0.168360E-04
    0.1212  0.561679E-03     0.155991E-04
    0.1255  0.533963E-03     0.132827E-04
    0.1315  0.475292E-03     0.102650E-04
