
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_753864_13_dca138                                    
  Mach  =    0.850
  alpha =    1.595    CLtot =    0.153
  beta  =    0.000

  Sref  =  1057.80000
  Bref  =    70.45000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065550035486159     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.766268E-01     0.139856E-01
    0.0003  0.764932E-01     0.139429E-01
    0.0025  0.762260E-01     0.138576E-01
    0.0070  0.756926E-01     0.136884E-01
    0.0136  0.748953E-01     0.134376E-01
    0.0225  0.738372E-01     0.131090E-01
    0.0335  0.725224E-01     0.127075E-01
    0.0465  0.709561E-01     0.122388E-01
    0.0616  0.691443E-01     0.117099E-01
    0.0787  0.670943E-01     0.111285E-01
    0.0977  0.648166E-01     0.105029E-01
    0.1185  0.623351E-01     0.984222E-02
    0.1407  0.596982E-01     0.916573E-02
    0.1641  0.568930E-01     0.848239E-02
    0.1891  0.538830E-01     0.779205E-02
    0.2154  0.506890E-01     0.710440E-02
    0.2430  0.473492E-01     0.642874E-02
    0.2717  0.439175E-01     0.577361E-02
    0.3015  0.404599E-01     0.514635E-02
    0.3321  0.370433E-01     0.455285E-02
    0.3632  0.337865E-01     0.400047E-02
    0.3945  0.307460E-01     0.349032E-02
    0.4263  0.278818E-01     0.301972E-02
    0.4585  0.251768E-01     0.258919E-02
    0.4908  0.226221E-01     0.219883E-02
    0.5233  0.202138E-01     0.184826E-02
    0.5556  0.179506E-01     0.153658E-02
    0.5878  0.158326E-01     0.126246E-02
    0.6196  0.138605E-01     0.102412E-02
    0.6509  0.120349E-01     0.819406E-03
    0.6817  0.103560E-01     0.645880E-03
    0.7116  0.882352E-02     0.500860E-03
    0.7407  0.743604E-02     0.381512E-03
    0.7688  0.619127E-02     0.284926E-03
    0.7958  0.508578E-02     0.208187E-03
    0.8215  0.411499E-02     0.148447E-03
    0.8459  0.327328E-02     0.102986E-03
    0.8688  0.255395E-02     0.692630E-04
    0.8902  0.194942E-02     0.449619E-04
    0.9100  0.145131E-02     0.280187E-04
    0.9280  0.105042E-02     0.166437E-04
    0.9442  0.736259E-03     0.933245E-05
    0.9591  0.488028E-03     0.473833E-05
    0.9724  0.297897E-03     0.208351E-05
    0.9836  0.164306E-03     0.772083E-06
    0.9926  0.769828E-04     0.220835E-06
    0.9994  0.272847E-04     0.412803E-07
    1.0040  0.555930E-05     0.343891E-08
    1.0063  0.317895E-06     0.459305E-10
    1.0066   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0065550035486159     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.766268E-01    -0.139856E-01
   -0.0003  0.764932E-01    -0.139429E-01
   -0.0025  0.762260E-01    -0.138576E-01
   -0.0070  0.756926E-01    -0.136884E-01
   -0.0136  0.748953E-01    -0.134376E-01
   -0.0225  0.738372E-01    -0.131090E-01
   -0.0335  0.725224E-01    -0.127075E-01
   -0.0465  0.709561E-01    -0.122388E-01
   -0.0616  0.691443E-01    -0.117099E-01
   -0.0787  0.670943E-01    -0.111285E-01
   -0.0977  0.648166E-01    -0.105029E-01
   -0.1185  0.623351E-01    -0.984222E-02
   -0.1407  0.596982E-01    -0.916573E-02
   -0.1641  0.568930E-01    -0.848239E-02
   -0.1891  0.538830E-01    -0.779205E-02
   -0.2154  0.506890E-01    -0.710440E-02
   -0.2430  0.473492E-01    -0.642874E-02
   -0.2717  0.439175E-01    -0.577361E-02
   -0.3015  0.404599E-01    -0.514635E-02
   -0.3321  0.370433E-01    -0.455285E-02
   -0.3632  0.337865E-01    -0.400047E-02
   -0.3945  0.307460E-01    -0.349032E-02
   -0.4263  0.278818E-01    -0.301972E-02
   -0.4585  0.251768E-01    -0.258919E-02
   -0.4908  0.226221E-01    -0.219883E-02
   -0.5233  0.202138E-01    -0.184826E-02
   -0.5556  0.179506E-01    -0.153658E-02
   -0.5878  0.158326E-01    -0.126246E-02
   -0.6196  0.138605E-01    -0.102412E-02
   -0.6509  0.120349E-01    -0.819406E-03
   -0.6817  0.103560E-01    -0.645880E-03
   -0.7116  0.882352E-02    -0.500860E-03
   -0.7407  0.743604E-02    -0.381512E-03
   -0.7688  0.619127E-02    -0.284926E-03
   -0.7958  0.508578E-02    -0.208187E-03
   -0.8215  0.411499E-02    -0.148447E-03
   -0.8459  0.327328E-02    -0.102986E-03
   -0.8688  0.255395E-02    -0.692630E-04
   -0.8902  0.194942E-02    -0.449619E-04
   -0.9100  0.145131E-02    -0.280187E-04
   -0.9280  0.105042E-02    -0.166437E-04
   -0.9442  0.736259E-03    -0.933245E-05
   -0.9591  0.488028E-03    -0.473833E-05
   -0.9724  0.297897E-03    -0.208351E-05
   -0.9836  0.164306E-03    -0.772083E-06
   -0.9926  0.769828E-04    -0.220835E-06
   -0.9994  0.272847E-04    -0.412803E-07
   -1.0040  0.555930E-05    -0.343891E-08
   -1.0063  0.317895E-06    -0.459305E-10
   -1.0066   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11639460610361957     
     2Ymax/Bref =   0.18045422285308726     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1164  0.711214E-03     0.215888E-04
    0.1167  0.709591E-03     0.208264E-04
    0.1188  0.702529E-03     0.193110E-04
    0.1230  0.672149E-03     0.164612E-04
    0.1289  0.603094E-03     0.127223E-04
    0.1362  0.495161E-03     0.877876E-05
    0.1442  0.368624E-03     0.531933E-05
    0.1526  0.247928E-03     0.276294E-05
    0.1607  0.147833E-03     0.117793E-05
    0.1679  0.743856E-04     0.379992E-06
    0.1738  0.283547E-04     0.787735E-07
    0.1780  0.619410E-05     0.714936E-08
    0.1802  0.373152E-06     0.101845E-09
    0.1805   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18045422285308726     
     2Ymax/Bref =  -0.11639460610361957     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1164  0.711214E-03    -0.215888E-04
   -0.1167  0.709591E-03    -0.208264E-04
   -0.1188  0.702529E-03    -0.193110E-04
   -0.1230  0.672149E-03    -0.164612E-04
   -0.1289  0.603094E-03    -0.127223E-04
   -0.1362  0.495161E-03    -0.877876E-05
   -0.1442  0.368624E-03    -0.531933E-05
   -0.1526  0.247928E-03    -0.276294E-05
   -0.1607  0.147833E-03    -0.117793E-05
   -0.1679  0.743856E-04    -0.379992E-06
   -0.1738  0.283547E-04    -0.787735E-07
   -0.1780  0.619410E-05    -0.714936E-08
   -0.1802  0.373152E-06    -0.101845E-09
   -0.1805   0.00000         -0.00000    
