
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_8384_5_41c90b                                       
  Mach  =    0.850
  alpha =    1.867    CLtot =    0.153
  beta  =    0.000

  Sref  =  1050.60000
  Bref  =    62.21000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063108824947757     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.759447E-01     0.149065E-01
    0.0003  0.758325E-01     0.148678E-01
    0.0023  0.756081E-01     0.147907E-01
    0.0064  0.751602E-01     0.146374E-01
    0.0124  0.744906E-01     0.144101E-01
    0.0205  0.736020E-01     0.141116E-01
    0.0305  0.724979E-01     0.137458E-01
    0.0425  0.711828E-01     0.133176E-01
    0.0562  0.696622E-01     0.128324E-01
    0.0718  0.679430E-01     0.122966E-01
    0.0891  0.660339E-01     0.117169E-01
    0.1081  0.639479E-01     0.111007E-01
    0.1287  0.617141E-01     0.104554E-01
    0.1507  0.593633E-01     0.978861E-02
    0.1764  0.566568E-01     0.904270E-02
    0.2058  0.535724E-01     0.823188E-02
    0.2367  0.503427E-01     0.743077E-02
    0.2688  0.469952E-01     0.664919E-02
    0.3021  0.435693E-01     0.589608E-02
    0.3364  0.401108E-01     0.517928E-02
    0.3715  0.366733E-01     0.450513E-02
    0.4050  0.335272E-01     0.391536E-02
    0.4366  0.306880E-01     0.340312E-02
    0.4686  0.279523E-01     0.293026E-02
    0.5008  0.253217E-01     0.249790E-02
    0.5330  0.227993E-01     0.210651E-02
    0.5651  0.203901E-01     0.175600E-02
    0.5971  0.181003E-01     0.144562E-02
    0.6287  0.159364E-01     0.117411E-02
    0.6599  0.139050E-01     0.939672E-03
    0.6904  0.120121E-01     0.740068E-03
    0.7202  0.102629E-01     0.572690E-03
    0.7491  0.866154E-02     0.434645E-03
    0.7770  0.721059E-02     0.322847E-03
    0.8038  0.591121E-02     0.234110E-03
    0.8294  0.476284E-02     0.165235E-03
    0.8536  0.376310E-02     0.113099E-03
    0.8764  0.290772E-02     0.747350E-04
    0.8976  0.219030E-02     0.473961E-04
    0.9173  0.160174E-02     0.286208E-04
    0.9348  0.113827E-02     0.164437E-04
    0.9503  0.783027E-03     0.890117E-05
    0.9641  0.512102E-03     0.440366E-05
    0.9759  0.311683E-03     0.192848E-05
    0.9859  0.170656E-03     0.711163E-06
    0.9939  0.794288E-04     0.202962E-06
    1.0000  0.282098E-04     0.380859E-07
    1.0040  0.582341E-05     0.320771E-08
    1.0061  0.338476E-06     0.434996E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063108824947757     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.759447E-01    -0.149065E-01
   -0.0003  0.758325E-01    -0.148678E-01
   -0.0023  0.756081E-01    -0.147907E-01
   -0.0064  0.751602E-01    -0.146374E-01
   -0.0124  0.744906E-01    -0.144101E-01
   -0.0205  0.736020E-01    -0.141116E-01
   -0.0305  0.724979E-01    -0.137458E-01
   -0.0425  0.711828E-01    -0.133176E-01
   -0.0562  0.696622E-01    -0.128324E-01
   -0.0718  0.679430E-01    -0.122966E-01
   -0.0891  0.660339E-01    -0.117169E-01
   -0.1081  0.639479E-01    -0.111007E-01
   -0.1287  0.617141E-01    -0.104554E-01
   -0.1507  0.593633E-01    -0.978861E-02
   -0.1764  0.566568E-01    -0.904270E-02
   -0.2058  0.535724E-01    -0.823188E-02
   -0.2367  0.503427E-01    -0.743077E-02
   -0.2688  0.469952E-01    -0.664919E-02
   -0.3021  0.435693E-01    -0.589608E-02
   -0.3364  0.401108E-01    -0.517928E-02
   -0.3715  0.366733E-01    -0.450513E-02
   -0.4050  0.335272E-01    -0.391536E-02
   -0.4366  0.306880E-01    -0.340312E-02
   -0.4686  0.279523E-01    -0.293026E-02
   -0.5008  0.253217E-01    -0.249790E-02
   -0.5330  0.227993E-01    -0.210651E-02
   -0.5651  0.203901E-01    -0.175600E-02
   -0.5971  0.181003E-01    -0.144562E-02
   -0.6287  0.159364E-01    -0.117411E-02
   -0.6599  0.139050E-01    -0.939672E-03
   -0.6904  0.120121E-01    -0.740068E-03
   -0.7202  0.102629E-01    -0.572690E-03
   -0.7491  0.866154E-02    -0.434645E-03
   -0.7770  0.721059E-02    -0.322847E-03
   -0.8038  0.591121E-02    -0.234110E-03
   -0.8294  0.476284E-02    -0.165235E-03
   -0.8536  0.376310E-02    -0.113099E-03
   -0.8764  0.290772E-02    -0.747350E-04
   -0.8976  0.219030E-02    -0.473961E-04
   -0.9173  0.160174E-02    -0.286208E-04
   -0.9348  0.113827E-02    -0.164437E-04
   -0.9503  0.783027E-03    -0.890117E-05
   -0.9641  0.512102E-03    -0.440366E-05
   -0.9759  0.311683E-03    -0.192848E-05
   -0.9859  0.170656E-03    -0.711163E-06
   -0.9939  0.794288E-04    -0.202962E-06
   -1.0000  0.282098E-04    -0.380859E-07
   -1.0040  0.582341E-05    -0.320771E-08
   -1.0061  0.338476E-06    -0.434996E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13181160585114932     
     2Ymax/Bref =   0.20435621282751967     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1318  0.109683E-02     0.371017E-04
    0.1321  0.109464E-02     0.357701E-04
    0.1346  0.108468E-02     0.331216E-04
    0.1393  0.103934E-02     0.281350E-04
    0.1460  0.930498E-03     0.215948E-04
    0.1542  0.755334E-03     0.147395E-04
    0.1633  0.551317E-03     0.881328E-05
    0.1728  0.363212E-03     0.451916E-05
    0.1820  0.212961E-03     0.190596E-05
    0.1902  0.105818E-03     0.609682E-06
    0.1969  0.399809E-04     0.125603E-06
    0.2016  0.868470E-05     0.113493E-07
    0.2040  0.521579E-06     0.161212E-09
    0.2044   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20435621282751967     
     2Ymax/Bref =  -0.13181160585114932     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1318  0.109683E-02    -0.371017E-04
   -0.1321  0.109464E-02    -0.357701E-04
   -0.1346  0.108468E-02    -0.331216E-04
   -0.1393  0.103934E-02    -0.281350E-04
   -0.1460  0.930498E-03    -0.215948E-04
   -0.1542  0.755334E-03    -0.147395E-04
   -0.1633  0.551317E-03    -0.881328E-05
   -0.1728  0.363212E-03    -0.451916E-05
   -0.1820  0.212961E-03    -0.190596E-05
   -0.1902  0.105818E-03    -0.609682E-06
   -0.1969  0.399809E-04    -0.125603E-06
   -0.2016  0.868470E-05    -0.113493E-07
   -0.2040  0.521579E-06    -0.161212E-09
   -0.2044   0.00000         -0.00000    
