
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_9624_17_3060bf                                      
  Mach  =    0.850
  alpha =    2.380    CLtot =    0.183
  beta  =    0.000

  Sref  =   804.90000
  Bref  =    64.67000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062192670480903     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.912359E-01     0.158625E-01
    0.0003  0.910522E-01     0.158092E-01
    0.0026  0.906850E-01     0.157028E-01
    0.0073  0.899520E-01     0.154919E-01
    0.0143  0.888564E-01     0.151798E-01
    0.0236  0.874028E-01     0.147717E-01
    0.0351  0.855977E-01     0.142742E-01
    0.0488  0.834491E-01     0.136955E-01
    0.0646  0.809668E-01     0.130449E-01
    0.0825  0.781631E-01     0.123331E-01
    0.1024  0.750544E-01     0.115716E-01
    0.1242  0.716723E-01     0.107725E-01
    0.1469  0.681763E-01     0.997827E-02
    0.1704  0.645718E-01     0.919874E-02
    0.1954  0.607360E-01     0.841635E-02
    0.2218  0.566927E-01     0.764267E-02
    0.2494  0.524930E-01     0.688874E-02
    0.2782  0.482153E-01     0.616445E-02
    0.3080  0.439513E-01     0.547797E-02
    0.3387  0.398006E-01     0.483539E-02
    0.3702  0.358763E-01     0.424027E-02
    0.4016  0.323573E-01     0.370205E-02
    0.4328  0.292305E-01     0.321700E-02
    0.4644  0.263555E-01     0.277445E-02
    0.4961  0.236966E-01     0.237339E-02
    0.5280  0.212319E-01     0.201260E-02
    0.5597  0.189466E-01     0.169065E-02
    0.5913  0.168298E-01     0.140582E-02
    0.6225  0.148725E-01     0.115614E-02
    0.6532  0.130670E-01     0.939427E-03
    0.6834  0.114064E-01     0.753332E-03
    0.7128  0.988440E-02     0.595377E-03
    0.7413  0.849484E-02     0.463010E-03
    0.7689  0.723187E-02     0.353641E-03
    0.7953  0.608987E-02     0.264694E-03
    0.8206  0.506347E-02     0.193639E-03
    0.8445  0.414774E-02     0.138027E-03
    0.8670  0.333839E-02     0.955199E-04
    0.8880  0.263198E-02     0.639089E-04
    0.9074  0.202570E-02     0.411401E-04
    0.9251  0.151689E-02     0.253355E-04
    0.9419  0.107931E-02     0.143030E-04
    0.9577  0.714952E-03     0.714164E-05
    0.9713  0.439866E-03     0.315362E-05
    0.9828  0.243333E-03     0.117186E-05
    0.9920  0.114323E-03     0.336508E-06
    0.9989  0.408319E-04     0.633547E-07
    1.0036  0.842691E-05     0.533350E-08
    1.0059  0.487704E-06     0.720387E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062192670480903     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.912359E-01    -0.158625E-01
   -0.0003  0.910522E-01    -0.158092E-01
   -0.0026  0.906850E-01    -0.157028E-01
   -0.0073  0.899520E-01    -0.154919E-01
   -0.0143  0.888564E-01    -0.151798E-01
   -0.0236  0.874028E-01    -0.147717E-01
   -0.0351  0.855977E-01    -0.142742E-01
   -0.0488  0.834491E-01    -0.136955E-01
   -0.0646  0.809668E-01    -0.130449E-01
   -0.0825  0.781631E-01    -0.123331E-01
   -0.1024  0.750544E-01    -0.115716E-01
   -0.1242  0.716723E-01    -0.107725E-01
   -0.1469  0.681763E-01    -0.997827E-02
   -0.1704  0.645718E-01    -0.919874E-02
   -0.1954  0.607360E-01    -0.841635E-02
   -0.2218  0.566927E-01    -0.764267E-02
   -0.2494  0.524930E-01    -0.688874E-02
   -0.2782  0.482153E-01    -0.616445E-02
   -0.3080  0.439513E-01    -0.547797E-02
   -0.3387  0.398006E-01    -0.483539E-02
   -0.3702  0.358763E-01    -0.424027E-02
   -0.4016  0.323573E-01    -0.370205E-02
   -0.4328  0.292305E-01    -0.321700E-02
   -0.4644  0.263555E-01    -0.277445E-02
   -0.4961  0.236966E-01    -0.237339E-02
   -0.5280  0.212319E-01    -0.201260E-02
   -0.5597  0.189466E-01    -0.169065E-02
   -0.5913  0.168298E-01    -0.140582E-02
   -0.6225  0.148725E-01    -0.115614E-02
   -0.6532  0.130670E-01    -0.939427E-03
   -0.6834  0.114064E-01    -0.753332E-03
   -0.7128  0.988440E-02    -0.595377E-03
   -0.7413  0.849484E-02    -0.463010E-03
   -0.7689  0.723187E-02    -0.353641E-03
   -0.7953  0.608987E-02    -0.264694E-03
   -0.8206  0.506347E-02    -0.193639E-03
   -0.8445  0.414774E-02    -0.138027E-03
   -0.8670  0.333839E-02    -0.955199E-04
   -0.8880  0.263198E-02    -0.639089E-04
   -0.9074  0.202570E-02    -0.411401E-04
   -0.9251  0.151689E-02    -0.253355E-04
   -0.9419  0.107931E-02    -0.143030E-04
   -0.9577  0.714952E-03    -0.714164E-05
   -0.9713  0.439866E-03    -0.315362E-05
