
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_9624_8_e9309c                                       
  Mach  =    0.850
  alpha =    2.038    CLtot =    0.173
  beta  =    0.000

  Sref  =   894.90000
  Bref  =    65.64000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061943936624009     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.860186E-01     0.152720E-01
    0.0003  0.858720E-01     0.152276E-01
    0.0023  0.855789E-01     0.151389E-01
    0.0065  0.849937E-01     0.149629E-01
    0.0126  0.841186E-01     0.147021E-01
    0.0208  0.829566E-01     0.143603E-01
    0.0310  0.815112E-01     0.139423E-01
    0.0431  0.797868E-01     0.134544E-01
    0.0571  0.777887E-01     0.129035E-01
    0.0729  0.755241E-01     0.122975E-01
    0.0905  0.730029E-01     0.116452E-01
    0.1097  0.702435E-01     0.109558E-01
    0.1306  0.672907E-01     0.102390E-01
    0.1534  0.641120E-01     0.948935E-02
    0.1782  0.606974E-01     0.871806E-02
    0.2043  0.571102E-01     0.794983E-02
    0.2316  0.533862E-01     0.719466E-02
    0.2601  0.495800E-01     0.646171E-02
    0.2896  0.457432E-01     0.575900E-02
    0.3200  0.419269E-01     0.509324E-02
    0.3511  0.381845E-01     0.446970E-02
    0.3829  0.345692E-01     0.389207E-02
    0.4151  0.311410E-01     0.336062E-02
    0.4476  0.279388E-01     0.287605E-02
    0.4804  0.249585E-01     0.243938E-02
    0.5131  0.221873E-01     0.204936E-02
    0.5459  0.196160E-01     0.170427E-02
    0.5784  0.172379E-01     0.140200E-02
    0.6105  0.150483E-01     0.114004E-02
    0.6422  0.130426E-01     0.915567E-03
    0.6732  0.112166E-01     0.725529E-03
    0.7035  0.956528E-02     0.566694E-03
    0.7329  0.808320E-02     0.435750E-03
    0.7613  0.676391E-02     0.329379E-03
    0.7886  0.560008E-02     0.244334E-03
    0.8146  0.458337E-02     0.177498E-03
    0.8392  0.370443E-02     0.125950E-03
    0.8624  0.295281E-02     0.870071E-04
    0.8840  0.231678E-02     0.582637E-04
    0.9040  0.178347E-02     0.376144E-04
    0.9222  0.134032E-02     0.232572E-04
    0.9396  0.957539E-03     0.131732E-04
    0.9559  0.636391E-03     0.658747E-05
    0.9701  0.392540E-03     0.290913E-05
    0.9819  0.217076E-03     0.107858E-05
    0.9915  0.101512E-03     0.308294E-06
    0.9987  0.359851E-04     0.577101E-07
    1.0035  0.737946E-05     0.483412E-08
    1.0059  0.426043E-06     0.651452E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061943936624009     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.860186E-01    -0.152720E-01
   -0.0003  0.858720E-01    -0.152276E-01
   -0.0023  0.855789E-01    -0.151389E-01
   -0.0065  0.849937E-01    -0.149629E-01
   -0.0126  0.841186E-01    -0.147021E-01
   -0.0208  0.829566E-01    -0.143603E-01
   -0.0310  0.815112E-01    -0.139423E-01
   -0.0431  0.797868E-01    -0.134544E-01
   -0.0571  0.777887E-01    -0.129035E-01
   -0.0729  0.755241E-01    -0.122975E-01
   -0.0905  0.730029E-01    -0.116452E-01
   -0.1097  0.702435E-01    -0.109558E-01
   -0.1306  0.672907E-01    -0.102390E-01
   -0.1534  0.641120E-01    -0.948935E-02
   -0.1782  0.606974E-01    -0.871806E-02
   -0.2043  0.571102E-01    -0.794983E-02
   -0.2316  0.533862E-01    -0.719466E-02
   -0.2601  0.495800E-01    -0.646171E-02
   -0.2896  0.457432E-01    -0.575900E-02
   -0.3200  0.419269E-01    -0.509324E-02
   -0.3511  0.381845E-01    -0.446970E-02
   -0.3829  0.345692E-01    -0.389207E-02
   -0.4151  0.311410E-01    -0.336062E-02
   -0.4476  0.279388E-01    -0.287605E-02
   -0.4804  0.249585E-01    -0.243938E-02
   -0.5131  0.221873E-01    -0.204936E-02
   -0.5459  0.196160E-01    -0.170427E-02
   -0.5784  0.172379E-01    -0.140200E-02
   -0.6105  0.150483E-01    -0.114004E-02
   -0.6422  0.130426E-01    -0.915567E-03
   -0.6732  0.112166E-01    -0.725529E-03
   -0.7035  0.956528E-02    -0.566694E-03
   -0.7329  0.808320E-02    -0.435750E-03
   -0.7613  0.676391E-02    -0.329379E-03
   -0.7886  0.560008E-02    -0.244334E-03
   -0.8146  0.458337E-02    -0.177498E-03
   -0.8392  0.370443E-02    -0.125950E-03
   -0.8624  0.295281E-02    -0.870071E-04
   -0.8840  0.231678E-02    -0.582637E-04
   -0.9040  0.178347E-02    -0.376144E-04
   -0.9222  0.134032E-02    -0.232572E-04
   -0.9396  0.957539E-03    -0.131732E-04
   -0.9559  0.636391E-03    -0.658747E-05
   -0.9701  0.392540E-03    -0.290913E-05
   -0.9819  0.217076E-03    -0.107858E-05
   -0.9915  0.101512E-03    -0.308294E-06
   -0.9987  0.359851E-04    -0.577101E-07
   -1.0035  0.737946E-05    -0.483412E-08
   -1.0059  0.426043E-06    -0.651452E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12492382693479584     
     2Ymax/Bref =   0.19367763558805606     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1249  0.105342E-02     0.332435E-04
    0.1252  0.105051E-02     0.320319E-04
    0.1275  0.103814E-02     0.296262E-04
    0.1320  0.986770E-03     0.251207E-04
    0.1384  0.874370E-03     0.192643E-04
    0.1461  0.705615E-03     0.131752E-04
    0.1548  0.516608E-03     0.792153E-05
    0.1638  0.343662E-03     0.409325E-05
    0.1725  0.203769E-03     0.174014E-05
    0.1802  0.102287E-03     0.560635E-06
    0.1866  0.389614E-04     0.116169E-06
    0.1911  0.851040E-05     0.105427E-07
    0.1934  0.512730E-06     0.150195E-09
    0.1937   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19367763558805606     
     2Ymax/Bref =  -0.12492382693479584     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1249  0.105342E-02    -0.332435E-04
   -0.1252  0.105051E-02    -0.320319E-04
   -0.1275  0.103814E-02    -0.296262E-04
   -0.1320  0.986770E-03    -0.251207E-04
   -0.1384  0.874370E-03    -0.192643E-04
   -0.1461  0.705615E-03    -0.131752E-04
   -0.1548  0.516608E-03    -0.792153E-05
   -0.1638  0.343662E-03    -0.409325E-05
   -0.1725  0.203769E-03    -0.174014E-05
   -0.1802  0.102287E-03    -0.560635E-06
   -0.1866  0.389614E-04    -0.116169E-06
   -0.1911  0.851040E-05    -0.105427E-07
   -0.1934  0.512730E-06    -0.150195E-09
   -0.1937   0.00000         -0.00000    
