
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_9956_1_c3db33                                       
  Mach  =    0.850
  alpha =    2.008    CLtot =    0.177
  beta  =    0.000

  Sref  =   924.00000
  Bref  =    61.45000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063694060211554     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.880595E-01     0.162370E-01
    0.0003  0.879047E-01     0.161878E-01
    0.0025  0.875950E-01     0.160897E-01
    0.0070  0.869767E-01     0.158948E-01
    0.0137  0.860521E-01     0.156062E-01
    0.0225  0.848238E-01     0.152280E-01
    0.0335  0.832949E-01     0.147659E-01
    0.0466  0.814690E-01     0.142267E-01
    0.0618  0.793506E-01     0.136185E-01
    0.0789  0.769456E-01     0.129503E-01
    0.0979  0.742639E-01     0.122319E-01
    0.1187  0.713240E-01     0.114741E-01
    0.1413  0.681734E-01     0.106876E-01
    0.1648  0.649378E-01     0.990402E-02
    0.1893  0.616229E-01     0.913210E-02
    0.2150  0.581553E-01     0.836120E-02
    0.2420  0.545684E-01     0.760085E-02
    0.2701  0.509121E-01     0.685979E-02
    0.2992  0.472315E-01     0.614571E-02
    0.3292  0.435714E-01     0.546515E-02
    0.3600  0.399778E-01     0.482333E-02
    0.3917  0.364701E-01     0.421500E-02
    0.4242  0.331005E-01     0.364446E-02
    0.4570  0.299105E-01     0.312210E-02
    0.4901  0.268902E-01     0.264817E-02
    0.5232  0.240352E-01     0.222235E-02
    0.5563  0.213448E-01     0.184371E-02
    0.5892  0.188201E-01     0.151075E-02
    0.6217  0.164631E-01     0.122139E-02
    0.6537  0.142760E-01     0.973120E-03
    0.6850  0.122603E-01     0.763011E-03
    0.7157  0.104168E-01     0.587828E-03
    0.7454  0.874543E-02     0.444125E-03
    0.7741  0.724452E-02     0.328336E-03
    0.8016  0.591120E-02     0.236872E-03
    0.8279  0.474113E-02     0.166208E-03
    0.8528  0.372851E-02     0.112963E-03
    0.8763  0.286612E-02     0.739722E-04
    0.8981  0.214517E-02     0.463441E-04
    0.9183  0.155478E-02     0.275106E-04
    0.9360  0.109850E-02     0.156273E-04
    0.9513  0.755500E-03     0.846120E-05
    0.9648  0.493683E-03     0.419015E-05
    0.9765  0.300703E-03     0.184011E-05
    0.9863  0.165377E-03     0.681968E-06
    0.9942  0.775907E-04     0.195843E-06
    1.0001  0.277720E-04     0.369418E-07
    1.0041  0.574966E-05     0.311770E-08
    1.0061  0.333334E-06     0.421781E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063694060211554     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.880595E-01    -0.162370E-01
   -0.0003  0.879047E-01    -0.161878E-01
   -0.0025  0.875950E-01    -0.160897E-01
   -0.0070  0.869767E-01    -0.158948E-01
   -0.0137  0.860521E-01    -0.156062E-01
   -0.0225  0.848238E-01    -0.152280E-01
   -0.0335  0.832949E-01    -0.147659E-01
   -0.0466  0.814690E-01    -0.142267E-01
   -0.0618  0.793506E-01    -0.136185E-01
   -0.0789  0.769456E-01    -0.129503E-01
   -0.0979  0.742639E-01    -0.122319E-01
   -0.1187  0.713240E-01    -0.114741E-01
   -0.1413  0.681734E-01    -0.106876E-01
   -0.1648  0.649378E-01    -0.990402E-02
   -0.1893  0.616229E-01    -0.913210E-02
   -0.2150  0.581553E-01    -0.836120E-02
   -0.2420  0.545684E-01    -0.760085E-02
   -0.2701  0.509121E-01    -0.685979E-02
   -0.2992  0.472315E-01    -0.614571E-02
   -0.3292  0.435714E-01    -0.546515E-02
   -0.3600  0.399778E-01    -0.482333E-02
   -0.3917  0.364701E-01    -0.421500E-02
   -0.4242  0.331005E-01    -0.364446E-02
   -0.4570  0.299105E-01    -0.312210E-02
   -0.4901  0.268902E-01    -0.264817E-02
   -0.5232  0.240352E-01    -0.222235E-02
   -0.5563  0.213448E-01    -0.184371E-02
   -0.5892  0.188201E-01    -0.151075E-02
   -0.6217  0.164631E-01    -0.122139E-02
   -0.6537  0.142760E-01    -0.973120E-03
   -0.6850  0.122603E-01    -0.763011E-03
   -0.7157  0.104168E-01    -0.587828E-03
   -0.7454  0.874543E-02    -0.444125E-03
   -0.7741  0.724452E-02    -0.328336E-03
   -0.8016  0.591120E-02    -0.236872E-03
   -0.8279  0.474113E-02    -0.166208E-03
   -0.8528  0.372851E-02    -0.112963E-03
   -0.8763  0.286612E-02    -0.739722E-04
   -0.8981  0.214517E-02    -0.463441E-04
   -0.9183  0.155478E-02    -0.275106E-04
   -0.9360  0.109850E-02    -0.156273E-04
   -0.9513  0.755500E-03    -0.846120E-05
   -0.9648  0.493683E-03    -0.419015E-05
   -0.9765  0.300703E-03    -0.184011E-05
   -0.9863  0.165377E-03    -0.681968E-06
   -0.9942  0.775907E-04    -0.195843E-06
   -1.0001  0.277720E-04    -0.369418E-07
   -1.0041  0.574966E-05    -0.311770E-08
   -1.0061  0.333334E-06    -0.421781E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13344182262001625     
     2Ymax/Bref =   0.20688364524003253     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1334  0.942690E-03     0.324045E-04
    0.1338  0.940045E-03     0.312464E-04
    0.1362  0.928923E-03     0.289470E-04
    0.1410  0.883436E-03     0.246394E-04
    0.1478  0.786029E-03     0.190279E-04
    0.1561  0.641963E-03     0.131494E-04
    0.1654  0.478978E-03     0.800253E-05
    0.1750  0.324680E-03     0.418232E-05
    0.1842  0.195375E-03     0.179447E-05
    0.1925  0.991121E-04     0.582158E-06
    0.1993  0.380194E-04     0.121226E-06
    0.2041  0.834076E-05     0.110389E-07
    0.2066  0.503691E-06     0.157608E-09
    0.2069   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20688364524003253     
     2Ymax/Bref =  -0.13344182262001625     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1334  0.942690E-03    -0.324045E-04
   -0.1338  0.940045E-03    -0.312464E-04
   -0.1362  0.928923E-03    -0.289470E-04
   -0.1410  0.883436E-03    -0.246394E-04
   -0.1478  0.786029E-03    -0.190279E-04
   -0.1561  0.641963E-03    -0.131494E-04
   -0.1654  0.478978E-03    -0.800253E-05
   -0.1750  0.324680E-03    -0.418232E-05
   -0.1842  0.195375E-03    -0.179447E-05
   -0.1925  0.991121E-04    -0.582158E-06
   -0.1993  0.380194E-04    -0.121226E-06
   -0.2041  0.834076E-05    -0.110389E-07
   -0.2066  0.503691E-06    -0.157608E-09
   -0.2069   0.00000         -0.00000    
