
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_9972_1_fa111f                                       
  Mach  =    0.850
  alpha =    2.141    CLtot =    0.185
  beta  =    0.000

  Sref  =   834.70000
  Bref  =    61.56000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063092917478882     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.925089E-01     0.165441E-01
    0.0003  0.923377E-01     0.164920E-01
    0.0025  0.919952E-01     0.163880E-01
    0.0070  0.913115E-01     0.161817E-01
    0.0138  0.902890E-01     0.158762E-01
    0.0227  0.889307E-01     0.154762E-01
    0.0338  0.872402E-01     0.149879E-01
    0.0470  0.852217E-01     0.144187E-01
    0.0623  0.828806E-01     0.137776E-01
    0.0795  0.802241E-01     0.130743E-01
    0.0987  0.772629E-01     0.123198E-01
    0.1197  0.740183E-01     0.115257E-01
    0.1425  0.705380E-01     0.107038E-01
    0.1662  0.669563E-01     0.988857E-02
    0.1908  0.632755E-01     0.908945E-02
    0.2167  0.594248E-01     0.829498E-02
    0.2438  0.554573E-01     0.751539E-02
    0.2721  0.514274E-01     0.675992E-02
    0.3014  0.473931E-01     0.603657E-02
    0.3316  0.434197E-01     0.535183E-02
    0.3625  0.395774E-01     0.471040E-02
    0.3941  0.359331E-01     0.411137E-02
    0.4262  0.325210E-01     0.355659E-02
    0.4587  0.293252E-01     0.304990E-02
    0.4914  0.263253E-01     0.259103E-02
    0.5241  0.235106E-01     0.217922E-02
    0.5568  0.208759E-01     0.181323E-02
    0.5893  0.184184E-01     0.149131E-02
    0.6214  0.161363E-01     0.121126E-02
    0.6530  0.140280E-01     0.970495E-03
    0.6840  0.120915E-01     0.766116E-03
    0.7143  0.103243E-01     0.594987E-03
    0.7437  0.872312E-02     0.453824E-03
    0.7720  0.728380E-02     0.339275E-03
    0.7993  0.600148E-02     0.247996E-03
    0.8252  0.487054E-02     0.176722E-03
    0.8499  0.388480E-02     0.122328E-03
    0.8730  0.303750E-02     0.818808E-04
    0.8946  0.232109E-02     0.526852E-04
    0.9146  0.172631E-02     0.323253E-04
    0.9325  0.124605E-02     0.188055E-04
    0.9486  0.866526E-03     0.102464E-04
    0.9627  0.571253E-03     0.509357E-05
    0.9750  0.349618E-03     0.223804E-05
    0.9852  0.192108E-03     0.827048E-06
    0.9935  0.895847E-04     0.236277E-06
    0.9998  0.318303E-04     0.443419E-07
    1.0040  0.656568E-05     0.373211E-08
    1.0060  0.381142E-06     0.505519E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063092917478882     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.925089E-01    -0.165441E-01
   -0.0003  0.923377E-01    -0.164920E-01
   -0.0025  0.919952E-01    -0.163880E-01
   -0.0070  0.913115E-01    -0.161817E-01
