x y
1.000185 0.000927
0.995264 0.002449
0.990341 0.003967
0.985418 0.005483
0.980495 0.006995
0.975570 0.008505
0.970645 0.010011
0.965720 0.011514
0.960794 0.013015
0.955867 0.014512
0.950940 0.016006
0.946012 0.017498
0.941084 0.018986
0.936155 0.020472
0.931225 0.021955
0.926295 0.023435
0.921364 0.024912
0.916433 0.026387
0.911501 0.027858
0.906569 0.029327
0.901636 0.030794
0.896703 0.032257
0.891769 0.033718
0.886834 0.035176
0.881899 0.036632
0.876964 0.038085
0.872028 0.039535
0.867091 0.040983
0.862154 0.042428
0.857216 0.043871
0.852278 0.045311
0.847340 0.046749
0.842401 0.048184
0.837461 0.049616
0.832521 0.051046
0.827580 0.052474
0.822639 0.053899
0.817697 0.055321
0.812755 0.056741
0.807813 0.058159
0.802870 0.059574
0.797926 0.060987
0.792982 0.062397
0.788037 0.063805
0.783092 0.065210
0.778147 0.066613
0.773201 0.068013
0.768254 0.069411
0.763307 0.070806
0.758359 0.072199
0.753411 0.073589
0.748463 0.074977
0.743514 0.076363
0.738564 0.077746
0.733614 0.079126
0.728664 0.080504
0.723713 0.081879
0.718761 0.083252
0.713809 0.084622
0.708856 0.085990
0.703903 0.087355
0.698950 0.088717
0.693995 0.090077
0.689041 0.091435
0.684085 0.092789
0.679130 0.094141
0.674173 0.095490
0.669217 0.096837
0.664259 0.098181
0.659301 0.099522
0.654343 0.100860
0.649384 0.102195
0.644424 0.103528
0.639464 0.104858
0.634503 0.106185
0.629542 0.107509
0.624580 0.108830
0.619618 0.110148
0.614654 0.111463
0.609691 0.112775
0.604726 0.114084
0.599761 0.115390
0.594796 0.116692
0.589830 0.117992
0.584863 0.119288
0.579895 0.120581
0.574927 0.121871
0.569958 0.123157
0.564989 0.124440
0.560018 0.125720
0.555047 0.126996
0.550076 0.128268
0.545103 0.129537
0.540130 0.130802
0.535157 0.132064
0.530182 0.133322
0.525207 0.134576
0.520231 0.135826
0.515254 0.137072
0.510276 0.138315
0.505297 0.139553
0.500318 0.140787
0.495338 0.142017
0.490357 0.143243
0.485375 0.144464
0.480393 0.145681
0.475409 0.146894
0.470424 0.148102
0.465439 0.149306
0.460453 0.150505
0.455465 0.151699
0.450477 0.152888
0.445488 0.154073
0.440498 0.155252
0.435506 0.156427
0.430514 0.157596
0.425521 0.158760
0.420526 0.159919
0.415531 0.161072
0.410534 0.162220
0.405537 0.163362
0.400538 0.164498
0.395538 0.165629
0.390537 0.166753
0.385534 0.167872
0.380531 0.168984
0.375526 0.170090
0.370519 0.171190
0.365512 0.172283
0.360503 0.173370
0.355493 0.174449
0.350481 0.175522
0.345468 0.176588
0.340454 0.177646
0.335438 0.178697
0.330421 0.179741
0.325402 0.180777
0.320381 0.181805
0.315359 0.182825
0.310335 0.183837
0.305310 0.184840
0.300283 0.185836
0.295254 0.186822
0.290223 0.187799
0.285191 0.188768
0.280156 0.189727
0.275120 0.190677
0.270082 0.191616
0.265042 0.192546
0.260000 0.193466
0.254932 0.194379
0.249785 0.195289
0.244554 0.196187
0.239240 0.197061
0.233843 0.197899
0.228364 0.198690
0.222802 0.199421
0.217157 0.200079
0.211431 0.200650
0.205623 0.201120
0.199734 0.201475
0.193767 0.201698
0.187723 0.201775
0.181606 0.201690
0.175421 0.201426
0.169173 0.200967
0.162868 0.200297
0.156516 0.199399
0.150126 0.198258
0.143709 0.196860
0.137279 0.195190
0.130849 0.193237
0.124434 0.190991
0.118048 0.188442
0.111707 0.185583
0.105426 0.182410
0.099219 0.178919
0.093098 0.175108
0.087075 0.170975
0.081158 0.166521
0.075356 0.161746
0.069675 0.156648
0.064118 0.151227
0.058690 0.145482
0.053391 0.139411
0.048223 0.133009
0.043187 0.126271
0.038284 0.119192
0.033516 0.111762
0.028884 0.103975
0.024395 0.095817
0.020055 0.087278
0.015876 0.078342
0.011875 0.068991
0.008080 0.059205
0.004534 0.048954
0.001317 0.038196
-0.001418 0.026857
-0.003268 0.014755
0.000000 0.000000
0.013319 0.006874
0.021519 0.015451
0.028834 0.023859
0.035667 0.031938
0.042172 0.039633
0.048426 0.046920
0.054476 0.053789
0.060347 0.060240
0.066057 0.066274
0.071618 0.071896
0.077037 0.077112
0.082319 0.081932
0.087466 0.086366
0.092480 0.090425
0.097363 0.094123
0.102114 0.097474
0.106736 0.100494
0.111230 0.103200
0.115599 0.105610
0.119847 0.107743
0.123981 0.109618
0.128008 0.111254
0.131937 0.112670
0.135780 0.113885
0.139549 0.114916
0.143259 0.115779
0.146923 0.116489
0.150558 0.117057
0.154178 0.117496
0.157798 0.117813
0.161432 0.118017
0.165092 0.118113
0.168790 0.118106
0.172536 0.117999
0.176338 0.117797
0.180203 0.117503
0.184136 0.117120
0.188143 0.116650
0.192226 0.116098
0.196387 0.115467
0.200630 0.114762
0.204953 0.113987
0.209359 0.113147
0.213847 0.112250
0.218418 0.111300
0.223072 0.110305
0.227808 0.109273
0.232628 0.108211
0.237530 0.107127
0.242513 0.106032
0.247521 0.104941
0.252531 0.103861
0.257543 0.102791
0.262557 0.101730
